SequencedSampleID,SequencingType,DateSequencing,SampleContent,BatchID,CurrentConsensusID,SampleID,TimestampCreated,TimestampUpdated
SequencedSample-672723,live,2021-02-05,RNA,Batch-783743,Consensus-206104,Sample-098215,2025-02-03 14:08:59.958813,2025-02-03 14:08:59.958814
SequencedSample-341988,test,2023-08-02,RNA,Batch-783743,Consensus-139615,Sample-645357,2025-02-03 14:08:59.958830,2025-02-03 14:08:59.958831
SequencedSample-154613,test,2022-11-10,RNA,Batch-783743,Consensus-996654,Sample-626925,2025-02-03 14:08:59.958852,2025-02-03 14:08:59.958853
SequencedSample-043686,historic,2022-08-29,RNA,Batch-783743,Consensus-721940,Sample-093004,2025-02-03 14:08:59.958869,2025-02-03 14:08:59.958870
SequencedSample-369081,project,2024-01-08,RNA,Batch-783743,Consensus-714607,Sample-703947,2025-02-03 14:08:59.958891,2025-02-03 14:08:59.958892
SequencedSample-420654,historic,2022-05-23,RNA,Batch-783743,Consensus-240154,Sample-235195,2025-02-03 14:08:59.958909,2025-02-03 14:08:59.958910
SequencedSample-298456,hospital_sequencing,2022-05-01,RNA,Batch-783743,Consensus-276346,Sample-174736,2025-02-03 14:08:59.958926,2025-02-03 14:08:59.958927
SequencedSample-030908,hostital,2020-09-20,RNA,Batch-783743,Consensus-565449,Sample-486883,2025-02-03 14:08:59.958943,2025-02-03 14:08:59.958944
SequencedSample-289545,live,2021-01-06,RNA,Batch-783743,Consensus-247272,Sample-225892,2025-02-03 14:08:59.958964,2025-02-03 14:08:59.958965
SequencedSample-046913,hospital_sequencing,2022-03-15,RNA,Batch-783743,Consensus-576251,Sample-694190,2025-02-03 14:08:59.958986,2025-02-03 14:08:59.958986
SequencedSample-394411,Hogwarts_sequencing_sent_to_Panem,2023-05-29,RNA,Batch-783743,Consensus-133083,Sample-412200,2025-02-03 14:08:59.959004,2025-02-03 14:08:59.959004
SequencedSample-306102,hospital_sequencing,2022-11-14,RNA,Batch-783743,Consensus-473715,Sample-482442,2025-02-03 14:08:59.959025,2025-02-03 14:08:59.959025
SequencedSample-051857,test,2021-09-17,RNA,Batch-783743,Consensus-430061,Sample-198723,2025-02-03 14:08:59.959042,2025-02-03 14:08:59.959043
SequencedSample-982211,hostital,2024-06-03,RNA,Batch-783743,Consensus-250075,Sample-675309,2025-02-03 14:08:59.959061,2025-02-03 14:08:59.959062
SequencedSample-270368,project,2020-12-23,RNA,Batch-783743,Consensus-123008,Sample-635002,2025-02-03 14:08:59.959083,2025-02-03 14:08:59.959084
SequencedSample-226404,Panem_sequencing,2023-04-11,RNA,Batch-783743,Consensus-645917,Sample-285696,2025-02-03 14:08:59.959100,2025-02-03 14:08:59.959101
SequencedSample-044327,hostital,2022-08-31,RNA,Batch-783743,Consensus-354072,Sample-294901,2025-02-03 14:08:59.959117,2025-02-03 14:08:59.959118
SequencedSample-313914,Panem_sequencing,2024-06-22,RNA,Batch-783743,Consensus-565102,Sample-360620,2025-02-03 14:08:59.959134,2025-02-03 14:08:59.959135
SequencedSample-874747,hostital,2023-06-05,RNA,Batch-783743,Consensus-171798,Sample-515722,2025-02-03 14:08:59.959151,2025-02-03 14:08:59.959152
SequencedSample-840266,hospital_sequencing,2020-10-21,RNA,Batch-783743,Consensus-406389,Sample-640733,2025-02-03 14:08:59.959169,2025-02-03 14:08:59.959169
SequencedSample-579542,project,2023-06-03,RNA,Batch-783743,Consensus-843211,Sample-562573,2025-02-03 14:08:59.959187,2025-02-03 14:08:59.959187
SequencedSample-337771,live,2020-11-23,RNA,Batch-783743,Consensus-051075,Sample-011615,2025-02-03 14:08:59.959208,2025-02-03 14:08:59.959209
SequencedSample-382510,test,2021-01-10,RNA,Batch-783743,Consensus-887484,Sample-219288,2025-02-03 14:08:59.959229,2025-02-03 14:08:59.959230
SequencedSample-297405,live,2023-08-16,RNA,Batch-783743,Consensus-100822,Sample-771619,2025-02-03 14:08:59.959247,2025-02-03 14:08:59.959248
SequencedSample-720095,hostital,2024-03-12,RNA,Batch-783743,Consensus-858717,Sample-548346,2025-02-03 14:08:59.959268,2025-02-03 14:08:59.959269
SequencedSample-134096,hospital_sequencing,2023-11-07,RNA,Batch-783743,Consensus-398619,Sample-069494,2025-02-03 14:08:59.959290,2025-02-03 14:08:59.959291
SequencedSample-966631,Hogwarts_sequencing_sent_to_Panem,2021-09-06,RNA,Batch-783743,Consensus-506585,Sample-096651,2025-02-03 14:08:59.959307,2025-02-03 14:08:59.959308
SequencedSample-278477,historic,2024-02-04,RNA,Batch-783743,Consensus-012239,Sample-178178,2025-02-03 14:08:59.959329,2025-02-03 14:08:59.959330
SequencedSample-029893,hostital,2020-12-15,RNA,Batch-783743,Consensus-943688,Sample-092561,2025-02-03 14:08:59.959351,2025-02-03 14:08:59.959352
SequencedSample-138458,historic,2024-05-19,RNA,Batch-783743,Consensus-544160,Sample-409070,2025-02-03 14:08:59.959369,2025-02-03 14:08:59.959369
SequencedSample-762731,historic,2024-07-17,RNA,Batch-783743,Consensus-004930,Sample-693264,2025-02-03 14:08:59.959386,2025-02-03 14:08:59.959387
SequencedSample-754670,Hogwarts_sequencing_sent_to_Panem,2020-12-19,RNA,Batch-783743,Consensus-911596,Sample-862831,2025-02-03 14:08:59.959408,2025-02-03 14:08:59.959413
SequencedSample-573978,live,2022-12-21,RNA,Batch-783743,Consensus-699357,Sample-767413,2025-02-03 14:08:59.959433,2025-02-03 14:08:59.959434
SequencedSample-498059,hostital,2020-10-05,RNA,Batch-783743,Consensus-970685,Sample-031176,2025-02-03 14:08:59.959451,2025-02-03 14:08:59.959451
SequencedSample-928083,Hogwarts_sequencing_sent_to_Panem,2022-02-26,RNA,Batch-783743,Consensus-535965,Sample-477328,2025-02-03 14:08:59.959472,2025-02-03 14:08:59.959473
SequencedSample-187862,hostital,2022-08-15,RNA,Batch-701256,Consensus-318681,Sample-198629,2025-02-03 14:08:59.959490,2025-02-03 14:08:59.959490
SequencedSample-589417,historic,2024-02-19,RNA,Batch-701256,Consensus-791349,Sample-783974,2025-02-03 14:08:59.959511,2025-02-03 14:08:59.959512
SequencedSample-957152,live,2024-09-06,RNA,Batch-701256,Consensus-465561,Sample-384277,2025-02-03 14:08:59.959529,2025-02-03 14:08:59.959529
SequencedSample-197540,Panem_sequencing,2022-01-21,RNA,Batch-701256,Consensus-786422,Sample-928530,2025-02-03 14:08:59.959550,2025-02-03 14:08:59.959551
SequencedSample-833300,test,2021-02-02,RNA,Batch-701256,Consensus-122228,Sample-596843,2025-02-03 14:08:59.959572,2025-02-03 14:08:59.959572
SequencedSample-249679,Panem_sequencing,2021-11-26,RNA,Batch-701256,Consensus-373579,Sample-825976,2025-02-03 14:08:59.959593,2025-02-03 14:08:59.959594
SequencedSample-182554,project,2020-09-18,RNA,Batch-701256,Consensus-516901,Sample-326278,2025-02-03 14:08:59.959610,2025-02-03 14:08:59.959611
SequencedSample-931108,live,2023-09-20,RNA,Batch-701256,Consensus-170028,Sample-314730,2025-02-03 14:08:59.959627,2025-02-03 14:08:59.959628
SequencedSample-026912,project,2024-06-05,RNA,Batch-701256,Consensus-299913,Sample-509859,2025-02-03 14:08:59.959645,2025-02-03 14:08:59.959645
SequencedSample-874507,historic,2024-01-17,RNA,Batch-701256,Consensus-136875,Sample-207128,2025-02-03 14:08:59.959670,2025-02-03 14:08:59.959671
SequencedSample-688473,historic,2022-09-15,RNA,Batch-701256,Consensus-273223,Sample-762959,2025-02-03 14:08:59.959688,2025-02-03 14:08:59.959688
SequencedSample-189987,hospital_sequencing,2022-02-19,RNA,Batch-701256,Consensus-252454,Sample-901406,2025-02-03 14:08:59.959710,2025-02-03 14:08:59.959710
SequencedSample-975168,project,2020-12-01,RNA,Batch-701256,Consensus-343636,Sample-881156,2025-02-03 14:08:59.959731,2025-02-03 14:08:59.959732
SequencedSample-917901,test,2020-10-21,RNA,Batch-701256,Consensus-271846,Sample-634406,2025-02-03 14:08:59.959749,2025-02-03 14:08:59.959749
SequencedSample-625397,hostital,2023-01-07,RNA,Batch-701256,Consensus-089693,Sample-162309,2025-02-03 14:08:59.959770,2025-02-03 14:08:59.959771
SequencedSample-707672,Panem_sequencing,2023-05-16,RNA,Batch-701256,Consensus-580912,Sample-945603,2025-02-03 14:08:59.959787,2025-02-03 14:08:59.959788
SequencedSample-987537,hostital,2020-12-31,RNA,Batch-701256,Consensus-265372,Sample-060449,2025-02-03 14:08:59.959809,2025-02-03 14:08:59.959810
SequencedSample-116081,Panem_sequencing,2020-10-31,RNA,Batch-701256,Consensus-787256,Sample-988372,2025-02-03 14:08:59.959830,2025-02-03 14:08:59.959831
SequencedSample-714193,historic,2023-02-16,RNA,Batch-701256,Consensus-868335,Sample-328296,2025-02-03 14:08:59.959852,2025-02-03 14:08:59.959852
SequencedSample-861614,live,2022-05-06,RNA,Batch-701256,Consensus-376111,Sample-710353,2025-02-03 14:08:59.959869,2025-02-03 14:08:59.959869
SequencedSample-972010,historic,2024-09-07,RNA,Batch-701256,Consensus-155076,Sample-965475,2025-02-03 14:08:59.959887,2025-02-03 14:08:59.959887
SequencedSample-345871,Hogwarts_sequencing_sent_to_Panem,2023-12-07,RNA,Batch-701256,Consensus-685587,Sample-389651,2025-02-03 14:08:59.959909,2025-02-03 14:08:59.959909
SequencedSample-200369,live,2022-02-23,RNA,Batch-701256,Consensus-731345,Sample-830150,2025-02-03 14:08:59.959930,2025-02-03 14:08:59.959931
SequencedSample-436922,project,2022-06-16,RNA,Batch-701256,Consensus-452340,Sample-173860,2025-02-03 14:08:59.959948,2025-02-03 14:08:59.959949
SequencedSample-484109,live,2022-09-29,RNA,Batch-701256,Consensus-710916,Sample-520624,2025-02-03 14:08:59.959965,2025-02-03 14:08:59.959966
SequencedSample-143509,hostital,2024-06-11,RNA,Batch-701256,Consensus-118986,Sample-151575,2025-02-03 14:08:59.959982,2025-02-03 14:08:59.959983
SequencedSample-414099,historic,2020-12-09,RNA,Batch-701256,Consensus-756785,Sample-077593,2025-02-03 14:08:59.960003,2025-02-03 14:08:59.960004
SequencedSample-385908,live,2024-09-19,RNA,Batch-701256,Consensus-290421,Sample-138792,2025-02-03 14:08:59.960020,2025-02-03 14:08:59.960021
SequencedSample-501092,test,2021-09-08,RNA,Batch-701256,Consensus-141372,Sample-093893,2025-02-03 14:08:59.960038,2025-02-03 14:08:59.960038
SequencedSample-150591,historic,2024-03-19,RNA,Batch-701256,Consensus-650510,Sample-021406,2025-02-03 14:08:59.960060,2025-02-03 14:08:59.960060
SequencedSample-027631,Panem_sequencing,2022-02-20,RNA,Batch-701256,Consensus-161558,Sample-111200,2025-02-03 14:08:59.960081,2025-02-03 14:08:59.960082
SequencedSample-568959,project,2021-07-02,RNA,Batch-701256,Consensus-525269,Sample-075554,2025-02-03 14:08:59.960098,2025-02-03 14:08:59.960099
SequencedSample-686251,project,2024-10-02,RNA,Batch-701256,Consensus-984298,Sample-095070,2025-02-03 14:08:59.960115,2025-02-03 14:08:59.960116
SequencedSample-067684,live,2022-07-22,RNA,Batch-701256,Consensus-206418,Sample-416218,2025-02-03 14:08:59.960132,2025-02-03 14:08:59.960133
SequencedSample-754407,Panem_sequencing,2022-04-04,RNA,Batch-701256,Consensus-642177,Sample-394300,2025-02-03 14:08:59.960149,2025-02-03 14:08:59.960150
SequencedSample-091411,Panem_sequencing,2022-01-31,RNA,Batch-701256,Consensus-465666,Sample-171323,2025-02-03 14:08:59.960171,2025-02-03 14:08:59.960172
SequencedSample-947990,test,2024-08-14,RNA,Batch-701256,Consensus-054882,Sample-888949,2025-02-03 14:08:59.960189,2025-02-03 14:08:59.960189
SequencedSample-538961,Hogwarts_sequencing_sent_to_Panem,2024-05-10,RNA,Batch-701256,Consensus-386442,Sample-685641,2025-02-03 14:08:59.960205,2025-02-03 14:08:59.960206
SequencedSample-936257,hospital_sequencing,2021-04-19,RNA,Batch-701256,Consensus-313921,Sample-418670,2025-02-03 14:08:59.960222,2025-02-03 14:08:59.960223
SequencedSample-208793,hostital,2022-05-06,RNA,Batch-701256,Consensus-019423,Sample-488319,2025-02-03 14:08:59.960239,2025-02-03 14:08:59.960240
SequencedSample-564737,hostital,2022-11-17,RNA,Batch-701256,Consensus-795699,Sample-897499,2025-02-03 14:08:59.960260,2025-02-03 14:08:59.960261
SequencedSample-430797,project,2024-06-03,RNA,Batch-701256,Consensus-301800,Sample-845154,2025-02-03 14:08:59.960277,2025-02-03 14:08:59.960278
SequencedSample-589885,live,2023-06-09,RNA,Batch-701256,Consensus-417208,Sample-133179,2025-02-03 14:08:59.960294,2025-02-03 14:08:59.960294
SequencedSample-319951,test,2023-12-18,RNA,Batch-701256,Consensus-761778,Sample-455362,2025-02-03 14:08:59.960315,2025-02-03 14:08:59.960316
SequencedSample-466642,test,2021-11-26,RNA,Batch-701256,Consensus-211907,Sample-998157,2025-02-03 14:08:59.960336,2025-02-03 14:08:59.960337
SequencedSample-716063,project,2023-10-25,RNA,Batch-701256,Consensus-940153,Sample-796761,2025-02-03 14:08:59.960354,2025-02-03 14:08:59.960354
SequencedSample-240634,hospital_sequencing,2023-07-11,RNA,Batch-701256,Consensus-190232,Sample-850796,2025-02-03 14:08:59.960371,2025-02-03 14:08:59.960372
SequencedSample-409228,Hogwarts_sequencing_sent_to_Panem,2020-12-27,RNA,Batch-701256,Consensus-606278,Sample-702062,2025-02-03 14:08:59.960392,2025-02-03 14:08:59.960393
SequencedSample-187937,test,2024-03-16,RNA,Batch-701256,Consensus-776253,Sample-954477,2025-02-03 14:08:59.960414,2025-02-03 14:08:59.960415
SequencedSample-130412,Hogwarts_sequencing_sent_to_Panem,2021-12-25,RNA,Batch-701256,Consensus-120987,Sample-384287,2025-02-03 14:08:59.960435,2025-02-03 14:08:59.960436
SequencedSample-355395,hospital_sequencing,2021-11-23,RNA,Batch-701256,Consensus-330009,Sample-739804,2025-02-03 14:08:59.960456,2025-02-03 14:08:59.960457
SequencedSample-080301,hostital,2024-06-03,RNA,Batch-701256,Consensus-721648,Sample-606082,2025-02-03 14:08:59.960473,2025-02-03 14:08:59.960474
SequencedSample-435154,project,2021-07-07,RNA,Batch-701256,Consensus-161739,Sample-934100,2025-02-03 14:08:59.960490,2025-02-03 14:08:59.960491
SequencedSample-649268,historic,2024-01-30,RNA,Batch-701256,Consensus-214143,Sample-070354,2025-02-03 14:08:59.960512,2025-02-03 14:08:59.960512
SequencedSample-559069,Hogwarts_sequencing_sent_to_Panem,2021-08-09,RNA,Batch-701256,Consensus-443477,Sample-434690,2025-02-03 14:08:59.960529,2025-02-03 14:08:59.960529
SequencedSample-209014,hospital_sequencing,2020-09-18,RNA,Batch-701256,Consensus-305044,Sample-970122,2025-02-03 14:08:59.960546,2025-02-03 14:08:59.960546
SequencedSample-527985,historic,2023-10-09,RNA,Batch-701256,Consensus-688442,Sample-969079,2025-02-03 14:08:59.960563,2025-02-03 14:08:59.960563
SequencedSample-577674,hospital_sequencing,2021-07-04,RNA,Batch-701256,Consensus-619626,Sample-660981,2025-02-03 14:08:59.960585,2025-02-03 14:08:59.960586
SequencedSample-466074,test,2021-11-10,RNA,Batch-701256,Consensus-209148,Sample-942099,2025-02-03 14:08:59.960606,2025-02-03 14:08:59.960607
SequencedSample-544224,hostital,2023-05-06,RNA,Batch-701256,Consensus-512859,Sample-193644,2025-02-03 14:08:59.960623,2025-02-03 14:08:59.960624
SequencedSample-364669,live,2022-05-03,RNA,Batch-701256,Consensus-963744,Sample-157503,2025-02-03 14:08:59.960640,2025-02-03 14:08:59.960641
SequencedSample-407325,project,2021-05-08,RNA,Batch-701256,Consensus-299984,Sample-665785,2025-02-03 14:08:59.960657,2025-02-03 14:08:59.960658
SequencedSample-680807,historic,2022-12-15,RNA,Batch-701256,Consensus-352863,Sample-655631,2025-02-03 14:08:59.960678,2025-02-03 14:08:59.960679
SequencedSample-282648,test,2021-01-08,RNA,Batch-701256,Consensus-616618,Sample-156520,2025-02-03 14:08:59.960699,2025-02-03 14:08:59.960700
SequencedSample-274716,hospital_sequencing,2022-11-24,RNA,Batch-701256,Consensus-500133,Sample-042886,2025-02-03 14:08:59.960720,2025-02-03 14:08:59.960721
SequencedSample-752990,Panem_sequencing,2024-06-12,RNA,Batch-701256,Consensus-085383,Sample-249431,2025-02-03 14:08:59.960737,2025-02-03 14:08:59.960738
SequencedSample-670897,live,2021-09-17,RNA,Batch-701256,Consensus-597343,Sample-198809,2025-02-03 14:08:59.960754,2025-02-03 14:08:59.960755
SequencedSample-106348,hospital_sequencing,2022-06-15,RNA,Batch-701256,Consensus-816631,Sample-143198,2025-02-03 14:08:59.960771,2025-02-03 14:08:59.960772
SequencedSample-206877,hostital,2020-12-06,RNA,Batch-701256,Consensus-795743,Sample-646838,2025-02-03 14:08:59.960793,2025-02-03 14:08:59.960794
SequencedSample-288169,Panem_sequencing,2024-05-21,RNA,Batch-701256,Consensus-139876,Sample-966246,2025-02-03 14:08:59.960810,2025-02-03 14:08:59.960811
SequencedSample-611218,hostital,2024-09-19,RNA,Batch-701256,Consensus-160978,Sample-341695,2025-02-03 14:08:59.960827,2025-02-03 14:08:59.960828
