NextcladeResultID,frameShifts,aaSubstitutions,aaDeletions,aaInsertions,alignmentScore,clade,Nextclade_pango,substitutions,deletions,insertions,missing,nonACGTNs,pcrPrimerChanges,qc.mixedSites.totalMixedSites,qc.overallScore,qc.overallStatus,qc.frameShifts.status,qc.frameShifts.frameShiftsIgnored,NextcladeVersion,ConsensusID,IsCurrent,TimestampCreated,TimestampUpdated
Nextclade-765955,,,,,87933,21L (Omicron),BA.2.9,,,,,,,1,6,good,,,nextclade 2.6.0,Consensus-692685,1,2025-02-03 14:08:35.125847,2025-02-03 14:08:35.125849
Nextclade-048312,,,,,87916,21L (Omicron),BA.2,,,,,,,0,40,mediocre,,,nextclade 2.4.0,Consensus-470525,1,2025-02-03 14:08:35.126377,2025-02-03 14:08:35.126379
Nextclade-813829,,,,,88220,21L (Omicron),BA.2,,,,,,,0,5,good,,,nextclade 2.6.0,Consensus-633904,1,2025-02-03 14:08:35.126923,2025-02-03 14:08:35.126924
Nextclade-212418,,,,,89529,21J (Delta),AY.36,,,,,,,0,8,good,,,nextclade 2.6.0,Consensus-860652,1,2025-02-03 14:08:35.127459,2025-02-03 14:08:35.127460
Nextclade-766528,,,,,89283,20A,B.1,,,,,,,0,1,good,,,nextclade 2.4.0,Consensus-956457,1,2025-02-03 14:08:35.127997,2025-02-03 14:08:35.127999
Nextclade-810343,,,,,89078,21J (Delta),B.1.617.2,,,,,,,0,15,good,,,nextclade 2.5.0,Consensus-306897,1,2025-02-03 14:08:35.128533,2025-02-03 14:08:35.128535
Nextclade-239108,,,,,88994,,,,,,,,,1,3,good,,,nextclade 2.4.0,Consensus-030420,1,2025-02-03 14:08:35.129085,2025-02-03 14:08:35.129086
Nextclade-167369,,,,,88701,21J (Delta),AY.132,,,,,,,0,3,good,,,nextclade 2.4.0,Consensus-033293,1,2025-02-03 14:08:35.129632,2025-02-03 14:08:35.129633
Nextclade-370210,,,,,88039,20I (Alpha; V1),B.1.1.7,,,,,,,2,23,good,,,nextclade 2.4.0,Consensus-680321,1,2025-02-03 14:08:35.130177,2025-02-03 14:08:35.130178
Nextclade-100015,,,,,89571,,,,,,,,,0,25,good,,,nextclade 2.5.0,Consensus-629428,1,2025-02-03 14:08:35.130727,2025-02-03 14:08:35.130728
Nextclade-623214,,,,,89227,,,,,,,,,0,17,good,,,nextclade 2.5.0,Consensus-729543,1,2025-02-03 14:08:35.131267,2025-02-03 14:08:35.131269
Nextclade-974635,,,,,88026,21J (Delta),AY.43,,,,,,,1,8,good,,,nextclade 2.5.0,Consensus-097384,1,2025-02-03 14:08:35.131798,2025-02-03 14:08:35.131799
Nextclade-907482,,,,,89266,20I (Alpha; V1),B.1.1.7,,,,,,,2,12,good,,,nextclade 2.4.0,Consensus-082549,1,2025-02-03 14:08:35.132334,2025-02-03 14:08:35.132335
Nextclade-091328,,,,,89533,20I (Alpha; V1),B.1.1.7,,,,,,,0,11,good,,,nextclade 2.6.0,Consensus-419941,1,2025-02-03 14:08:35.132879,2025-02-03 14:08:35.132880
Nextclade-476045,,,,,88074,21L (Omicron),BA.2,,,,,,,0,62,mediocre,,,nextclade 2.6.0,Consensus-561923,1,2025-02-03 14:08:35.133406,2025-02-03 14:08:35.133407
Nextclade-608721,,,,,89529,,,,,,,,,0,17,good,,,nextclade 2.5.0,Consensus-891365,1,2025-02-03 14:08:35.133945,2025-02-03 14:08:35.133946
Nextclade-231179,,,,,88092,21J (Delta),AY.4.6,,,,,,,0,24,good,,,nextclade 2.4.0,Consensus-368460,1,2025-02-03 14:08:35.134474,2025-02-03 14:08:35.134475
Nextclade-046357,,,,,88493,21J (Delta),AY.4.5,,,,,,,0,29,good,,,nextclade 2.5.0,Consensus-836080,1,2025-02-03 14:08:35.135007,2025-02-03 14:08:35.135008
Nextclade-293493,,,,,87935,21J (Delta),AY.33,,,,,,,0,18,good,,,nextclade 2.5.0,Consensus-893296,1,2025-02-03 14:08:35.135544,2025-02-03 14:08:35.135545
Nextclade-452764,,,,,88027,21J (Delta),AY.43,,,,,,,3,17,good,,,nextclade 2.4.0,Consensus-617108,1,2025-02-03 14:08:35.136090,2025-02-03 14:08:35.136091
Nextclade-560019,,,,,88735,21J (Delta),AY.43.6,,,,,,,0,12,good,,,nextclade 2.4.0,Consensus-758596,1,2025-02-03 14:08:35.136828,2025-02-03 14:08:35.136830
Nextclade-827241,,,,,87977,20A,B.1,,,,,,,0,37,mediocre,,,nextclade 2.4.0,Consensus-635061,1,2025-02-03 14:08:35.137508,2025-02-03 14:08:35.137510
Nextclade-010311,,,,,89201,20I (Alpha; V1),B.1.1.7,,,,,,,0,7,good,,,nextclade 2.6.0,Consensus-516766,1,2025-02-03 14:08:35.138093,2025-02-03 14:08:35.138094
Nextclade-056427,,,,,89197,21L (Omicron),BA.2,,,,,,,0,9,good,,,nextclade 2.4.0,Consensus-257835,1,2025-02-03 14:08:35.138651,2025-02-03 14:08:35.138653
Nextclade-696806,,,,,88735,21J (Delta),AY.43,,,,,,,0,17,good,,,nextclade 2.5.0,Consensus-698269,1,2025-02-03 14:08:35.139202,2025-02-03 14:08:35.139203
Nextclade-790944,,,,,88297,21J (Delta),AY.122,,,,,,,0,27,good,,,nextclade 2.5.0,Consensus-707536,1,2025-02-03 14:08:35.139752,2025-02-03 14:08:35.139753
Nextclade-786698,,,,,88084,21J (Delta),AY.4,,,,,,,0,11,good,,,nextclade 2.6.0,Consensus-416791,1,2025-02-03 14:08:35.140297,2025-02-03 14:08:35.140298
Nextclade-705296,,,,,88814,21K (Omicron),BA.1,,,,,,,2,0,good,,,nextclade 2.6.0,Consensus-108628,1,2025-02-03 14:08:35.140834,2025-02-03 14:08:35.140835
Nextclade-347967,,,,,87828,21J (Delta),AY.43,,,,,,,0,69,mediocre,,,nextclade 2.6.0,Consensus-654678,1,2025-02-03 14:08:35.141375,2025-02-03 14:08:35.141377
Nextclade-274734,,,,,88934,21J (Delta),B.1.617.2,,,,,,,0,6,good,,,nextclade 2.4.0,Consensus-533497,1,2025-02-03 14:08:35.141910,2025-02-03 14:08:35.141912
Nextclade-636844,,,,,87895,,,,,,,,,1,11,good,,,nextclade 2.6.0,Consensus-215535,1,2025-02-03 14:08:35.142460,2025-02-03 14:08:35.142461
Nextclade-629234,,,,,88084,21L (Omicron),BA.2,,,,,,,0,7,good,,,nextclade 2.4.0,Consensus-440251,1,2025-02-03 14:08:35.142997,2025-02-03 14:08:35.142998
Nextclade-203281,,,,,89575,20E (EU1),B.1.177.21,,,,,,,0,23,good,,,nextclade 2.5.0,Consensus-855731,1,2025-02-03 14:08:35.143543,2025-02-03 14:08:35.143544
Nextclade-302247,,,,,87955,21J (Delta),AY.122,,,,,,,0,21,good,,,nextclade 2.4.0,Consensus-870028,1,2025-02-03 14:08:35.144079,2025-02-03 14:08:35.144080
Nextclade-764397,,,,,88902,20B,B.1.1.70,,,,,,,0,23,good,,,nextclade 2.4.0,Consensus-341171,1,2025-02-03 14:08:35.144613,2025-02-03 14:08:35.144614
Nextclade-377277,,,,,88440,21L (Omicron),BA.2,,,,,,,0,12,good,,,nextclade 2.5.0,Consensus-938724,1,2025-02-03 14:08:35.145160,2025-02-03 14:08:35.145161
Nextclade-653694,,,,,89525,21J (Delta),AY.33,,,,,,,1,26,good,,,nextclade 2.4.0,Consensus-378241,1,2025-02-03 14:08:35.145703,2025-02-03 14:08:35.145705
Nextclade-168572,,,,,88036,21J (Delta),AY.36,,,,,,,0,4,good,,,nextclade 2.4.0,Consensus-510570,1,2025-02-03 14:08:35.146259,2025-02-03 14:08:35.146260
Nextclade-629637,,,,,89643,20A,B.1.258,,,,,,,1,26,good,,,nextclade 2.5.0,Consensus-955536,1,2025-02-03 14:08:35.146805,2025-02-03 14:08:35.146806
Nextclade-782528,,,,,89393,,,,,,,,,2,1,good,,,nextclade 2.6.0,Consensus-959748,1,2025-02-03 14:08:35.147355,2025-02-03 14:08:35.147356
Nextclade-245584,,,,,88702,21L (Omicron),BA.2,,,,,,,0,25,good,,,nextclade 2.5.0,Consensus-851391,1,2025-02-03 14:08:35.147887,2025-02-03 14:08:35.147888
Nextclade-540151,,,,,87924,21L (Omicron),BA.2,,,,,,,1,11,good,,,nextclade 2.5.0,Consensus-786672,1,2025-02-03 14:08:35.148415,2025-02-03 14:08:35.148416
Nextclade-995936,,,,,89488,21L (Omicron),BA.2.9,,,,,,,1,43,mediocre,,,nextclade 2.5.0,Consensus-398246,1,2025-02-03 14:08:35.148950,2025-02-03 14:08:35.148952
Nextclade-424631,,,,,89421,21J (Delta),AY.4,,,,,,,0,10,good,,,nextclade 2.5.0,Consensus-206104,1,2025-02-03 14:08:35.149486,2025-02-03 14:08:35.149487
Nextclade-579539,,,,,88288,21J (Delta),AY.126,,,,,,,1,23,good,,,nextclade 2.6.0,Consensus-139615,1,2025-02-03 14:08:35.150014,2025-02-03 14:08:35.150015
Nextclade-529665,,,,,89449,20I (Alpha; V1),B.1.1.7,,,,,,,1,1,good,,,nextclade 2.4.0,Consensus-996654,1,2025-02-03 14:08:35.150561,2025-02-03 14:08:35.150563
Nextclade-300387,,,,,89692,21L (Omicron),BA.2.9,,,,,,,1,19,good,,,nextclade 2.6.0,Consensus-721940,1,2025-02-03 14:08:35.151090,2025-02-03 14:08:35.151091
Nextclade-720794,,,,,89547,20B,B.1.1.170,,,,,,,2,15,good,,,nextclade 2.5.0,Consensus-714607,1,2025-02-03 14:08:35.151621,2025-02-03 14:08:35.151622
Nextclade-669171,,,,,88351,,,,,,,,,0,11,good,,,nextclade 2.4.0,Consensus-240154,1,2025-02-03 14:08:35.152163,2025-02-03 14:08:35.152165
Nextclade-591383,,,,,89552,21L (Omicron),BA.2,,,,,,,1,26,good,,,nextclade 2.6.0,Consensus-276346,1,2025-02-03 14:08:35.152755,2025-02-03 14:08:35.152756
Nextclade-287593,,,,,89094,,,,,,,,,0,6,good,,,nextclade 2.5.0,Consensus-565449,1,2025-02-03 14:08:35.153347,2025-02-03 14:08:35.153348
Nextclade-786153,,,,,89655,21K (Omicron),BA.1.9,,,,,,,1,16,good,,,nextclade 2.6.0,Consensus-247272,1,2025-02-03 14:08:35.153878,2025-02-03 14:08:35.153879
Nextclade-337886,,,,,89400,20I (Alpha; V1),B.1.1.7,,,,,,,1,19,good,,,nextclade 2.6.0,Consensus-576251,1,2025-02-03 14:08:35.154410,2025-02-03 14:08:35.154411
Nextclade-446583,,,,,89655,21K (Omicron),BA.1,,,,,,,0,21,good,,,nextclade 2.6.0,Consensus-133083,1,2025-02-03 14:08:35.154935,2025-02-03 14:08:35.154937
Nextclade-206790,,,,,88402,21J (Delta),AY.43.6,,,,,,,0,4650,bad,,,nextclade 2.6.0,Consensus-473715,1,2025-02-03 14:08:35.155468,2025-02-03 14:08:35.155469
Nextclade-243374,,,,,89163,20I (Alpha; V1),B.1.1.7,,,,,,,0,22,good,,,nextclade 2.6.0,Consensus-430061,1,2025-02-03 14:08:35.155994,2025-02-03 14:08:35.155995
Nextclade-946781,,,,,88662,21J (Delta),AY.125,,,,,,,6,62,mediocre,,,nextclade 2.4.0,Consensus-250075,1,2025-02-03 14:08:35.156518,2025-02-03 14:08:35.156519
Nextclade-470293,,,,,89204,21K (Omicron),BA.1,,,,,,,3,3,good,,,nextclade 2.4.0,Consensus-123008,1,2025-02-03 14:08:35.157050,2025-02-03 14:08:35.157051
Nextclade-165164,,,,,89181,21J (Delta),AY.4,,,,,,,1,15,good,,,nextclade 2.4.0,Consensus-645917,1,2025-02-03 14:08:35.157579,2025-02-03 14:08:35.157580
Nextclade-167597,,,,,88447,21J (Delta),AY.43,,,,,,,2,8,good,,,nextclade 2.6.0,Consensus-354072,1,2025-02-03 14:08:35.158109,2025-02-03 14:08:35.158110
Nextclade-204926,,,,,87924,21I (Delta),AY.9.2,,,,,,,0,2,good,,,nextclade 2.5.0,Consensus-565102,1,2025-02-03 14:08:35.158637,2025-02-03 14:08:35.158638
Nextclade-232702,,,,,89095,21L (Omicron),BA.2,,,,,,,0,29,good,,,nextclade 2.6.0,Consensus-171798,1,2025-02-03 14:08:35.159167,2025-02-03 14:08:35.159168
Nextclade-461071,,,,,88729,21J (Delta),AY.121,,,,,,,0,4,good,,,nextclade 2.5.0,Consensus-406389,1,2025-02-03 14:08:35.159713,2025-02-03 14:08:35.159715
Nextclade-171873,,,,,88726,21J (Delta),AY.126,,,,,,,3,19,good,,,nextclade 2.4.0,Consensus-843211,1,2025-02-03 14:08:35.160246,2025-02-03 14:08:35.160248
Nextclade-760792,,,,,88580,21L (Omicron),BA.2.9,,,,,,,0,13,good,,,nextclade 2.6.0,Consensus-051075,1,2025-02-03 14:08:35.160788,2025-02-03 14:08:35.160789
Nextclade-771252,,,,,88672,21L (Omicron),BA.2.9,,,,,,,1,28,good,,,nextclade 2.5.0,Consensus-887484,1,2025-02-03 14:08:35.161331,2025-02-03 14:08:35.161332
Nextclade-683077,,,,,88920,21J (Delta),AY.125,,,,,,,0,28,good,,,nextclade 2.4.0,Consensus-100822,1,2025-02-03 14:08:35.161859,2025-02-03 14:08:35.161861
Nextclade-193082,,,,,87934,21K (Omicron),BA.1.15,,,,,,,0,13,good,,,nextclade 2.6.0,Consensus-858717,1,2025-02-03 14:08:35.162384,2025-02-03 14:08:35.162385
Nextclade-236655,,,,,88390,,,,,,,,,0,18,good,,,nextclade 2.6.0,Consensus-398619,1,2025-02-03 14:08:35.162924,2025-02-03 14:08:35.162926
Nextclade-068028,,,,,89594,21J (Delta),AY.43,,,,,,,0,41,mediocre,,,nextclade 2.4.0,Consensus-506585,1,2025-02-03 14:08:35.163448,2025-02-03 14:08:35.163449
Nextclade-424671,,,,,89219,21J (Delta),B.1.617.2,,,,,,,0,16,good,,,nextclade 2.5.0,Consensus-012239,1,2025-02-03 14:08:35.163975,2025-02-03 14:08:35.163976
Nextclade-248898,,,,,88771,21L (Omicron),BA.2,,,,,,,0,17,good,,,nextclade 2.6.0,Consensus-943688,1,2025-02-03 14:08:35.164503,2025-02-03 14:08:35.164504
Nextclade-051813,,,,,88174,20I (Alpha; V1),B.1.1.7,,,,,,,0,37,mediocre,,,nextclade 2.4.0,Consensus-544160,1,2025-02-03 14:08:35.165033,2025-02-03 14:08:35.165035
Nextclade-658347,,,,,88291,20I (Alpha; V1),B.1.1.7,,,,,,,3,18040,bad,,,nextclade 2.6.0,Consensus-004930,1,2025-02-03 14:08:35.165569,2025-02-03 14:08:35.165570
Nextclade-039260,,,,,88025,21L (Omicron),BA.2.9,,,,,,,0,14,good,,,nextclade 2.4.0,Consensus-911596,1,2025-02-03 14:08:35.166096,2025-02-03 14:08:35.166097
Nextclade-619832,,,,,88549,20E (EU1),B.1.177,,,,,,,2,26,good,,,nextclade 2.6.0,Consensus-699357,1,2025-02-03 14:08:35.166622,2025-02-03 14:08:35.166623
Nextclade-660460,,,,,88971,21L (Omicron),BA.2,,,,,,,0,29,good,,,nextclade 2.5.0,Consensus-970685,1,2025-02-03 14:08:35.167145,2025-02-03 14:08:35.167146
Nextclade-580874,,,,,89543,21J (Delta),AY.4.6,,,,,,,1,5,good,,,nextclade 2.5.0,Consensus-535965,1,2025-02-03 14:08:35.167678,2025-02-03 14:08:35.167679
Nextclade-395338,,,,,88633,20I (Alpha; V1),B.1.1.7,,,,,,,0,0,good,,,nextclade 2.4.0,Consensus-318681,1,2025-02-03 14:08:35.168200,2025-02-03 14:08:35.168201
Nextclade-281445,,,,,89294,20E (EU1),B.1.177,,,,,,,1,15,good,,,nextclade 2.6.0,Consensus-791349,1,2025-02-03 14:08:35.168744,2025-02-03 14:08:35.168746
Nextclade-943319,,,,,88444,21L (Omicron),BA.2,,,,,,,1,94,mediocre,,,nextclade 2.4.0,Consensus-465561,1,2025-02-03 14:08:35.169393,2025-02-03 14:08:35.169395
Nextclade-906115,,,,,89602,21J (Delta),AY.4,,,,,,,4,26,good,,,nextclade 2.4.0,Consensus-786422,1,2025-02-03 14:08:35.170060,2025-02-03 14:08:35.170062
Nextclade-636654,,,,,87994,21J (Delta),AY.125,,,,,,,0,16,good,,,nextclade 2.4.0,Consensus-122228,1,2025-02-03 14:08:35.170643,2025-02-03 14:08:35.170645
Nextclade-840552,,,,,88188,20B,B.1.1.203,,,,,,,1,3,good,,,nextclade 2.5.0,Consensus-373579,1,2025-02-03 14:08:35.171199,2025-02-03 14:08:35.171200
Nextclade-237222,,,,,88252,21J (Delta),AY.4.6,,,,,,,0,22,good,,,nextclade 2.6.0,Consensus-516901,1,2025-02-03 14:08:35.171731,2025-02-03 14:08:35.171732
Nextclade-643591,,,,,88288,21L (Omicron),BA.2,,,,,,,6,22891,bad,,,nextclade 2.4.0,Consensus-170028,1,2025-02-03 14:08:35.172260,2025-02-03 14:08:35.172261
Nextclade-677140,,,,,88020,20A,B.1.36,,,,,,,1,9,good,,,nextclade 2.6.0,Consensus-299913,1,2025-02-03 14:08:35.172795,2025-02-03 14:08:35.172796
Nextclade-249522,,,,,87939,21J (Delta),B.1.617.2,,,,,,,0,11,good,,,nextclade 2.4.0,Consensus-136875,1,2025-02-03 14:08:35.173323,2025-02-03 14:08:35.173324
Nextclade-164912,,,,,88501,20E (EU1),B.1.177.12,,,,,,,3,25,good,,,nextclade 2.6.0,Consensus-273223,1,2025-02-03 14:08:35.173848,2025-02-03 14:08:35.173849
Nextclade-490061,,,,,87832,21J (Delta),AY.120.2.1,,,,,,,0,16,good,,,nextclade 2.4.0,Consensus-252454,1,2025-02-03 14:08:35.174374,2025-02-03 14:08:35.174375
Nextclade-777905,,,,,88906,21L (Omicron),BA.2,,,,,,,6,51,mediocre,,,nextclade 2.5.0,Consensus-343636,1,2025-02-03 14:08:35.174896,2025-02-03 14:08:35.174897
Nextclade-446995,,,,,88439,20I (Alpha; V1),B.1.1.7,,,,,,,23,3,good,,,nextclade 2.6.0,Consensus-271846,1,2025-02-03 14:08:35.175419,2025-02-03 14:08:35.175421
Nextclade-543237,,,,,88664,21L (Omicron),BA.2,,,,,,,0,4362,bad,,,nextclade 2.5.0,Consensus-089693,1,2025-02-03 14:08:35.175938,2025-02-03 14:08:35.175940
Nextclade-301210,,,,,89637,20A,B.1.36.8,,,,,,,3,0,good,,,nextclade 2.4.0,Consensus-580912,1,2025-02-03 14:08:35.176477,2025-02-03 14:08:35.176479
Nextclade-716085,,,,,88576,21J (Delta),AY.4.10,,,,,,,0,0,good,,,nextclade 2.6.0,Consensus-265372,1,2025-02-03 14:08:35.177009,2025-02-03 14:08:35.177010
Nextclade-966674,,,,,88324,21J (Delta),AY.98.1,,,,,,,0,24,good,,,nextclade 2.4.0,Consensus-787256,1,2025-02-03 14:08:35.177534,2025-02-03 14:08:35.177536
Nextclade-455881,,,,,88789,21J (Delta),AY.46.6,,,,,,,0,9,good,,,nextclade 2.6.0,Consensus-868335,1,2025-02-03 14:08:35.178054,2025-02-03 14:08:35.178055
Nextclade-510770,,,,,88724,21K (Omicron),BA.1,,,,,,,1,29,good,,,nextclade 2.5.0,Consensus-376111,1,2025-02-03 14:08:35.178570,2025-02-03 14:08:35.178571
Nextclade-957947,,,,,88719,21J (Delta),AY.4.6,,,,,,,0,24,good,,,nextclade 2.6.0,Consensus-155076,1,2025-02-03 14:08:35.179097,2025-02-03 14:08:35.179098
Nextclade-855741,,,,,87896,,,,,,,,,0,7,good,,,nextclade 2.5.0,Consensus-685587,1,2025-02-03 14:08:35.179631,2025-02-03 14:08:35.179632
Nextclade-203226,,,,,89643,21J (Delta),AY.25.1,,,,,,,0,3,good,,,nextclade 2.5.0,Consensus-731345,1,2025-02-03 14:08:35.180151,2025-02-03 14:08:35.180152
Nextclade-704460,,,,,89346,20I (Alpha; V1),B.1.1.7,,,,,,,0,21,good,,,nextclade 2.6.0,Consensus-452340,1,2025-02-03 14:08:35.180672,2025-02-03 14:08:35.180674
Nextclade-622934,,,,,88686,21J (Delta),AY.43,,,,,,,1,8,good,,,nextclade 2.5.0,Consensus-710916,1,2025-02-03 14:08:35.181189,2025-02-03 14:08:35.181190
Nextclade-618551,,,,,87957,21J (Delta),AY.43,,,,,,,1,17,good,,,nextclade 2.5.0,Consensus-118986,1,2025-02-03 14:08:35.181707,2025-02-03 14:08:35.181708
Nextclade-062139,,,,,87817,20I (Alpha; V1),B.1.1.7,,,,,,,0,25,good,,,nextclade 2.6.0,Consensus-756785,1,2025-02-03 14:08:35.182223,2025-02-03 14:08:35.182224
Nextclade-974504,,,,,89568,20I (Alpha; V1),B.1.1.7,,,,,,,0,0,good,,,nextclade 2.6.0,Consensus-290421,1,2025-02-03 14:08:35.182735,2025-02-03 14:08:35.182736
Nextclade-370722,,,,,88099,20I (Alpha; V1),B.1.1.7,,,,,,,0,12,good,,,nextclade 2.4.0,Consensus-141372,1,2025-02-03 14:08:35.183253,2025-02-03 14:08:35.183254
Nextclade-486808,,,,,88688,21L (Omicron),BA.2.9,,,,,,,2,15,good,,,nextclade 2.5.0,Consensus-650510,1,2025-02-03 14:08:35.183776,2025-02-03 14:08:35.183777
Nextclade-290263,,,,,89595,20B,AD.2,,,,,,,1,0,good,,,nextclade 2.5.0,Consensus-161558,1,2025-02-03 14:08:35.184304,2025-02-03 14:08:35.184305
Nextclade-168931,,,,,88186,20I (Alpha; V1),B.1.1.7,,,,,,,1,28,good,,,nextclade 2.6.0,Consensus-525269,1,2025-02-03 14:08:35.184832,2025-02-03 14:08:35.184833
Nextclade-866131,,,,,87819,21I (Delta),AY.9.2,,,,,,,5,25,good,,,nextclade 2.4.0,Consensus-984298,1,2025-02-03 14:08:35.185362,2025-02-03 14:08:35.185364
Nextclade-665069,,,,,89042,21J (Delta),AY.43,,,,,,,1,21,good,,,nextclade 2.5.0,Consensus-206418,1,2025-02-03 14:08:35.185892,2025-02-03 14:08:35.185894
Nextclade-422402,,,,,88042,21J (Delta),AY.7.1,,,,,,,0,48,mediocre,,,nextclade 2.6.0,Consensus-642177,1,2025-02-03 14:08:35.186428,2025-02-03 14:08:35.186429
Nextclade-099725,,,,,88868,20E (EU1),B.1.177.12,,,,,,,1,25,good,,,nextclade 2.6.0,Consensus-465666,1,2025-02-03 14:08:35.186948,2025-02-03 14:08:35.186949
Nextclade-840577,,,,,89463,20I (Alpha; V1),B.1.1.7,,,,,,,0,82,mediocre,,,nextclade 2.5.0,Consensus-054882,1,2025-02-03 14:08:35.187465,2025-02-03 14:08:35.187466
Nextclade-559493,,,,,89564,21J (Delta),AY.4,,,,,,,0,3,good,,,nextclade 2.5.0,Consensus-386442,1,2025-02-03 14:08:35.187979,2025-02-03 14:08:35.187981
Nextclade-347623,,,,,89198,20I (Alpha; V1),B.1.1.7,,,,,,,3,4,good,,,nextclade 2.4.0,Consensus-313921,1,2025-02-03 14:08:35.188502,2025-02-03 14:08:35.188503
Nextclade-138436,,,,,89582,21L (Omicron),BA.2,,,,,,,0,28,good,,,nextclade 2.4.0,Consensus-019423,1,2025-02-03 14:08:35.189016,2025-02-03 14:08:35.189017
Nextclade-178580,,,,,89011,20A,B.1.221,,,,,,,0,27,good,,,nextclade 2.5.0,Consensus-795699,1,2025-02-03 14:08:35.189547,2025-02-03 14:08:35.189548
