ConsensusID,NCount,AmbiguousSites,NwAmb,NCountQC,NumAlignedReads,PctCoveredBases,SeqLength,QcScore,SequenceExclude,ManualExclude,Alpha,Beta,Gamma,Delta,Eta,Omicron,BA.1,BA.2,BG,BA.4,BA.5,BA.2.75,BF.7,WhoVariant,LineagesOfInterest,UnaliasedPango,SequencedSampleID,CurrentNextcladeID,CurrentPangolinID,IsCurrent,TimestampCreated,TimestampUpdated
Consensus-025813,63,0,63,HQ,,99.93,29788,,,Manually_Excluded_Plate,1,0,0,0,0,0,0,0,0,0,0,0,0,Alpha,Alpha,B.1.1.7,SequencedSample-570783,Nextclade-796647,Pangolin-520636,1,2025-01-29 15:10:15.420310,2025-01-29 15:10:15.420311
Consensus-120560,31,0,31,HQ,,99.82,29300,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.98.1,SequencedSample-550450,Nextclade-825226,Pangolin-726641,1,2025-01-29 15:10:15.420448,2025-01-29 15:10:15.420449
Consensus-721751,49,1,50,HQ,,99.62,29906,,,Manually_Excluded_Sample,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2,SequencedSample-094615,Nextclade-538625,Pangolin-418321,1,2025-01-29 15:10:15.420576,2025-01-29 15:10:15.420577
Consensus-119600,46,1,47,HQ,,99.85,30007,,,Manually_Excluded_Plate,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.122,SequencedSample-482152,Nextclade-459777,Pangolin-849001,1,2025-01-29 15:10:15.420703,2025-01-29 15:10:15.420704
Consensus-811243,45,0,45,HQ,,99.76,29510,,NegContamination;ManuallyExcluded,Manually_Excluded_Plate,0,0,0,0,0,1,1,0,0,0,0,0,0,Omicron,BA.1,B.1.1.529.1.17.2,SequencedSample-847909,Nextclade-368725,Pangolin-447247,1,2025-01-29 15:10:15.420836,2025-01-29 15:10:15.420838
Consensus-721371,25,0,25,HQ,,99.72,30288,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2.9,SequencedSample-054735,Nextclade-416093,Pangolin-384134,1,2025-01-29 15:10:15.420965,2025-01-29 15:10:15.420966
Consensus-439939,55,3,58,HQ,,99.87,29893,,,Manually_Excluded_Run,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SequencedSample-375966,Nextclade-105756,Pangolin-845702,1,2025-01-29 15:10:15.421091,2025-01-29 15:10:15.421092
Consensus-275432,42,2,44,HQ,,99.7,30334,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-314781,Nextclade-902054,Pangolin-168764,1,2025-01-29 15:10:15.421236,2025-01-29 15:10:15.421237
Consensus-256915,389,0,389,MQ,,96.23,29932,,,Manually_Excluded_Run,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.60,SequencedSample-681216,Nextclade-794381,Pangolin-648502,1,2025-01-29 15:10:15.421383,2025-01-29 15:10:15.421384
Consensus-927554,187,0,187,MQ,,98.21,30279,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,Alpha,Alpha,B.1.1.7,SequencedSample-582991,Nextclade-384643,Pangolin-946076,1,2025-01-29 15:10:15.421525,2025-01-29 15:10:15.421526
Consensus-434798,107,1,108,HQ,,99.61,30138,,,Manually_Excluded_Run,1,0,0,0,0,0,0,0,0,0,0,0,0,Alpha,Alpha,B.1.1.7,SequencedSample-230973,Nextclade-299126,Pangolin-593231,1,2025-01-29 15:10:15.421664,2025-01-29 15:10:15.421665
Consensus-123085,34,0,34,HQ,,99.71,30332,,,Manually_Excluded_Run,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SequencedSample-302148,Nextclade-049735,Pangolin-423025,1,2025-01-29 15:10:15.421806,2025-01-29 15:10:15.421807
Consensus-079366,687,1,688,MQ,1151756,93.72,29674,Fail: Mixed strain,,Manually_Excluded_Run,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.43,SequencedSample-777860,Nextclade-159019,Pangolin-666415,1,2025-01-29 15:10:15.421953,2025-01-29 15:10:15.421954
Consensus-117550,15,1,16,HQ,,99.77,30306,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SequencedSample-555617,Nextclade-391697,Pangolin-121837,1,2025-01-29 15:10:15.422092,2025-01-29 15:10:15.422093
Consensus-113983,212,1,213,MQ,,90.14,29362,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.43.6,SequencedSample-443032,Nextclade-164022,Pangolin-454231,1,2025-01-29 15:10:15.422226,2025-01-29 15:10:15.422227
Consensus-455944,29,0,29,HQ,,99.82,29589,,,Manually_Excluded_Plate,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2.9,SequencedSample-792283,Nextclade-934047,Pangolin-675835,1,2025-01-29 15:10:15.422363,2025-01-29 15:10:15.422364
Consensus-987404,57,0,57,HQ,,99.93,29572,,,Manually_Excluded_Sample,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B.1.177.86,SequencedSample-007100,Nextclade-963993,Pangolin-981339,1,2025-01-29 15:10:15.422497,2025-01-29 15:10:15.422498
Consensus-602146,11,0,11,HQ,,99.92,29921,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.43,SequencedSample-307141,Nextclade-917744,Pangolin-957480,1,2025-01-29 15:10:15.422630,2025-01-29 15:10:15.422631
Consensus-838240,116,1,117,HQ,,99.87,30289,,,Manually_Excluded_Sample,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B.1.160,SequencedSample-729042,Nextclade-720999,Pangolin-107132,1,2025-01-29 15:10:15.422761,2025-01-29 15:10:15.422762
Consensus-821397,933,0,933,MQ,,96.87,29569,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SequencedSample-779299,Nextclade-097966,Pangolin-473102,1,2025-01-29 15:10:15.422899,2025-01-29 15:10:15.422900
Consensus-305374,1453,0,1453,MQ,,93.89,29340,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.36,SequencedSample-104370,Nextclade-169363,Pangolin-939289,1,2025-01-29 15:10:15.423033,2025-01-29 15:10:15.423034
Consensus-922905,425,1,426,MQ,,99.48,29967,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.43,SequencedSample-199097,Nextclade-725874,Pangolin-649837,1,2025-01-29 15:10:15.423165,2025-01-29 15:10:15.423166
Consensus-627954,320,1,321,MQ,,91.25,29748,,,Manually_Excluded_Run,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-266727,Nextclade-235595,Pangolin-360254,1,2025-01-29 15:10:15.423296,2025-01-29 15:10:15.423297
Consensus-408403,14,3,17,HQ,,99.65,29697,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.7.1,SequencedSample-530214,Nextclade-835651,Pangolin-811774,1,2025-01-29 15:10:15.423435,2025-01-29 15:10:15.423436
Consensus-319528,69,0,69,HQ,,99.59,30305,,,Manually_Excluded_Sample,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.43,SequencedSample-238057,Nextclade-321109,Pangolin-476059,1,2025-01-29 15:10:15.423567,2025-01-29 15:10:15.423568
Consensus-574293,54,0,54,HQ,,99.73,29489,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,Omicron,BA.1,B.1.1.529.1.17.2,SequencedSample-565727,Nextclade-466109,Pangolin-599688,1,2025-01-29 15:10:15.423700,2025-01-29 15:10:15.423701
Consensus-159393,38,0,38,HQ,,99.97,30101,,,Manually_Excluded_Run,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.4.6,SequencedSample-946032,Nextclade-508756,Pangolin-531722,1,2025-01-29 15:10:15.423831,2025-01-29 15:10:15.423832
Consensus-694103,122,9,131,MQ,,95.47,29920,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B.1.1.44,SequencedSample-251165,Nextclade-168890,Pangolin-186790,1,2025-01-29 15:10:15.423962,2025-01-29 15:10:15.423963
Consensus-567753,56,0,56,HQ,,99.57,29899,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B.1.160,SequencedSample-958428,Nextclade-836457,Pangolin-393246,1,2025-01-29 15:10:15.424098,2025-01-29 15:10:15.424099
Consensus-502467,308,2,310,MQ,,91.48,29312,,,Manually_Excluded_Run,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-431017,Nextclade-545739,Pangolin-195136,1,2025-01-29 15:10:15.424232,2025-01-29 15:10:15.424233
Consensus-660344,156,0,156,MQ,,91.32,29759,,,Manually_Excluded_Sample,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.126,SequencedSample-918674,Nextclade-165850,Pangolin-347742,1,2025-01-29 15:10:15.424364,2025-01-29 15:10:15.424365
Consensus-871919,113,0,113,HQ,,99.77,30307,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,Omicron,BA.1,B.1.1.529.1.1,SequencedSample-999387,Nextclade-986187,Pangolin-604901,1,2025-01-29 15:10:15.424496,2025-01-29 15:10:15.424497
Consensus-260759,54,0,54,HQ,,99.69,29835,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.4,SequencedSample-648050,Nextclade-092272,Pangolin-880504,1,2025-01-29 15:10:15.424626,2025-01-29 15:10:15.424627
Consensus-487611,82,1,83,HQ,,99.86,30135,,,Manually_Excluded_Sample,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B.1.1,SequencedSample-155459,Nextclade-260092,Pangolin-683602,1,2025-01-29 15:10:15.424755,2025-01-29 15:10:15.424756
Consensus-924287,200,0,200,MQ,,98.93,30166,,,Manually_Excluded_Sample,0,0,0,0,0,1,1,0,0,0,0,0,0,Omicron,BA.1,B.1.1.529.1.17.2,SequencedSample-229144,Nextclade-384573,Pangolin-471806,1,2025-01-29 15:10:15.424889,2025-01-29 15:10:15.424890
Consensus-061045,158,1,159,MQ,,98.88,30109,,,Manually_Excluded_Plate,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.122,SequencedSample-272548,Nextclade-485622,Pangolin-530435,1,2025-01-29 15:10:15.425022,2025-01-29 15:10:15.425023
Consensus-041829,,,,Fail,,1.37,29319,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2,SequencedSample-367574,Nextclade-671513,Pangolin-178180,1,2025-01-29 15:10:15.425154,2025-01-29 15:10:15.425155
Consensus-718594,89,3,92,HQ,,99.87,30103,,,Manually_Excluded_Sample,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.43,SequencedSample-807430,Nextclade-736306,Pangolin-449171,1,2025-01-29 15:10:15.425285,2025-01-29 15:10:15.425286
Consensus-858539,321,1,322,MQ,,96.11,29599,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2,SequencedSample-002757,Nextclade-319942,Pangolin-042754,1,2025-01-29 15:10:15.425416,2025-01-29 15:10:15.425417
Consensus-385297,73,3,76,HQ,,99.66,29393,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B.1,SequencedSample-571639,Nextclade-444182,Pangolin-341578,1,2025-01-29 15:10:15.425548,2025-01-29 15:10:15.425549
Consensus-616520,180,0,180,MQ,,92.01,29530,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2,SequencedSample-045729,Nextclade-503331,Pangolin-916194,1,2025-01-29 15:10:15.425685,2025-01-29 15:10:15.425686
Consensus-386685,90,1,91,HQ,,99.89,29573,,,Manually_Excluded_Sample,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-960897,Nextclade-501124,Pangolin-615707,1,2025-01-29 15:10:15.425823,2025-01-29 15:10:15.425824
Consensus-799196,1511,1,1512,MQ,,96.43,29973,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,Alpha,Alpha,B.1.1.7,SequencedSample-444385,Nextclade-201949,Pangolin-393577,1,2025-01-29 15:10:15.425962,2025-01-29 15:10:15.425963
Consensus-543630,183,0,183,MQ,,92.82,30366,,,Manually_Excluded_Sample,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-696021,Nextclade-853726,Pangolin-399200,1,2025-01-29 15:10:15.426099,2025-01-29 15:10:15.426100
Consensus-267128,240,0,240,MQ,,91.88,30213,,,Manually_Excluded_Plate,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-700311,Nextclade-052676,Pangolin-862203,1,2025-01-29 15:10:15.426235,2025-01-29 15:10:15.426236
Consensus-799736,117,0,117,HQ,,99.87,30290,,,Manually_Excluded_Plate,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.43.6,SequencedSample-600723,Nextclade-640595,Pangolin-555824,1,2025-01-29 15:10:15.426376,2025-01-29 15:10:15.426377
Consensus-156532,840,0,840,MQ,,95.8,30393,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B.1.177.21,SequencedSample-992169,Nextclade-868960,Pangolin-162309,1,2025-01-29 15:10:15.426515,2025-01-29 15:10:15.426516
Consensus-512820,43,2,45,HQ,,99.64,29408,,,Manually_Excluded_Sample,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SequencedSample-173899,Nextclade-580813,Pangolin-832275,1,2025-01-29 15:10:15.426647,2025-01-29 15:10:15.426648
Consensus-643710,11,0,11,HQ,,99.98,29623,,,Manually_Excluded_Run,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.43.6,SequencedSample-747968,Nextclade-726593,Pangolin-871384,1,2025-01-29 15:10:15.426776,2025-01-29 15:10:15.426777
Consensus-518533,245,1,246,MQ,,91.93,30185,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,Alpha,Alpha,B.1.1.7,SequencedSample-028509,Nextclade-191663,Pangolin-243186,1,2025-01-29 15:10:15.426913,2025-01-29 15:10:15.426914
Consensus-080959,36,0,36,HQ,1698514,100.0,29477,Fail: Mixed strain,,Manually_Excluded_Run,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-387618,Nextclade-354935,Pangolin-305625,1,2025-01-29 15:10:15.427051,2025-01-29 15:10:15.427052
Consensus-717467,205,0,205,MQ,,98.38,29402,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SequencedSample-456555,Nextclade-254439,Pangolin-926658,1,2025-01-29 15:10:15.427183,2025-01-29 15:10:15.427184
Consensus-371072,3588,1,3589,Fail,,65.07,30308,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-301161,Nextclade-549187,Pangolin-136065,1,2025-01-29 15:10:15.427319,2025-01-29 15:10:15.427320
Consensus-746733,361,3,364,MQ,,90.48,29790,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-584558,Nextclade-419147,Pangolin-313545,1,2025-01-29 15:10:15.427450,2025-01-29 15:10:15.427451
Consensus-185537,114,0,114,HQ,,99.71,29641,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-612875,Nextclade-246601,Pangolin-084904,1,2025-01-29 15:10:15.427583,2025-01-29 15:10:15.427584
Consensus-810855,317,1,318,MQ,,98.63,29471,,,Manually_Excluded_Run,1,0,0,0,0,0,0,0,0,0,0,0,0,Alpha,Alpha,B.1.1.7,SequencedSample-383275,Nextclade-254649,Pangolin-267999,1,2025-01-29 15:10:15.427712,2025-01-29 15:10:15.427713
Consensus-065795,62,2,64,HQ,,99.77,30213,,,Manually_Excluded_Sample,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-809694,Nextclade-563995,Pangolin-677092,1,2025-01-29 15:10:15.427848,2025-01-29 15:10:15.427849
Consensus-305637,811,1,812,MQ,,89.89,30107,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.4,SequencedSample-482157,Nextclade-687525,Pangolin-528037,1,2025-01-29 15:10:15.427983,2025-01-29 15:10:15.427984
Consensus-034929,143,0,143,MQ,,91.62,29931,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-842139,Nextclade-277258,Pangolin-414538,1,2025-01-29 15:10:15.428122,2025-01-29 15:10:15.428123
Consensus-416929,3,0,3,HQ,,99.6,30162,,,Manually_Excluded_Sample,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.33,SequencedSample-810827,Nextclade-267948,Pangolin-953091,1,2025-01-29 15:10:15.428263,2025-01-29 15:10:15.428264
Consensus-429519,508,3,511,MQ,,98.27,29771,,,Manually_Excluded_Plate,1,0,0,0,0,0,0,0,0,0,0,0,0,Alpha,Alpha,B.1.1.7,SequencedSample-450186,Nextclade-746051,Pangolin-213804,1,2025-01-29 15:10:15.428401,2025-01-29 15:10:15.428402
Consensus-518396,92,0,92,HQ,,99.83,29408,,,Manually_Excluded_Plate,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SequencedSample-315994,Nextclade-557256,Pangolin-395415,1,2025-01-29 15:10:15.428624,2025-01-29 15:10:15.428626
Consensus-654442,31,2,33,HQ,,99.95,29506,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-225977,Nextclade-296186,Pangolin-774964,1,2025-01-29 15:10:15.428816,2025-01-29 15:10:15.428817
Consensus-020657,9,0,9,HQ,,99.87,29457,,,Manually_Excluded_Plate,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.4.15,SequencedSample-398123,Nextclade-190503,Pangolin-389066,1,2025-01-29 15:10:15.428982,2025-01-29 15:10:15.428983
Consensus-795767,928,0,928,MQ,,93.02,29428,,,Manually_Excluded_Plate,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2,SequencedSample-747426,Nextclade-593079,Pangolin-102143,1,2025-01-29 15:10:15.429133,2025-01-29 15:10:15.429134
Consensus-880640,73,0,73,HQ,,99.66,30288,,TooManyNs;ManuallyExcluded,Manually_Excluded_Sample,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.126,SequencedSample-500204,Nextclade-485253,Pangolin-622023,1,2025-01-29 15:10:15.429278,2025-01-29 15:10:15.429279
Consensus-936267,1327,2,1329,MQ,,94.95,29939,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,Alpha,Alpha,B.1.1.7,SequencedSample-876299,Nextclade-709987,Pangolin-870642,1,2025-01-29 15:10:15.429421,2025-01-29 15:10:15.429422
Consensus-017075,32,0,32,HQ,,99.63,29962,,,Manually_Excluded_Run,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SequencedSample-652557,Nextclade-548435,Pangolin-936698,1,2025-01-29 15:10:15.429563,2025-01-29 15:10:15.429564
Consensus-285302,365,1,366,MQ,,93.96,30204,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.129,SequencedSample-357279,Nextclade-569444,Pangolin-242217,1,2025-01-29 15:10:15.429701,2025-01-29 15:10:15.429702
Consensus-823376,734,12,746,MQ,,89.97,29994,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.7.1,SequencedSample-433428,Nextclade-049989,Pangolin-531527,1,2025-01-29 15:10:15.429842,2025-01-29 15:10:15.429843
Consensus-897648,1322,2,1324,MQ,,92.2,29874,,,Manually_Excluded_Run,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.4,SequencedSample-544277,Nextclade-629319,Pangolin-377765,1,2025-01-29 15:10:15.429987,2025-01-29 15:10:15.429988
Consensus-841320,285,0,285,MQ,,89.95,29402,,,Manually_Excluded_Run,0,0,0,0,0,1,1,0,0,0,0,0,0,Omicron,BA.1,B.1.1.529.1,SequencedSample-910488,Nextclade-557017,Pangolin-120880,1,2025-01-29 15:10:15.430125,2025-01-29 15:10:15.430126
Consensus-094510,375,2,377,MQ,,95.85,29324,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.4,SequencedSample-614057,Nextclade-134263,Pangolin-408101,1,2025-01-29 15:10:15.430257,2025-01-29 15:10:15.430258
Consensus-287968,147,0,147,MQ,,91.78,29832,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,Alpha,Alpha,B.1.1.7,SequencedSample-308780,Nextclade-185291,Pangolin-745025,1,2025-01-29 15:10:15.430394,2025-01-29 15:10:15.430395
Consensus-639883,389,1,390,MQ,,93.62,30028,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.120.2.1,SequencedSample-403487,Nextclade-686048,Pangolin-729393,1,2025-01-29 15:10:15.430529,2025-01-29 15:10:15.430530
Consensus-765111,172,0,172,MQ,,91.73,29569,,,Manually_Excluded_Sample,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B.1.258,SequencedSample-265805,Nextclade-952517,Pangolin-646136,1,2025-01-29 15:10:15.430663,2025-01-29 15:10:15.430664
Consensus-020273,131,0,131,MQ,,94.81,29394,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,Omicron,BA.1,B.1.1.529.1,SequencedSample-228636,Nextclade-887289,Pangolin-396164,1,2025-01-29 15:10:15.430796,2025-01-29 15:10:15.430797
Consensus-727886,59,0,59,HQ,,99.9,30033,,,Manually_Excluded_Sample,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SequencedSample-007639,Nextclade-019356,Pangolin-588717,1,2025-01-29 15:10:15.430933,2025-01-29 15:10:15.430934
Consensus-609738,78,0,78,HQ,,99.78,30069,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.4,SequencedSample-908368,Nextclade-859254,Pangolin-302707,1,2025-01-29 15:10:15.431068,2025-01-29 15:10:15.431069
Consensus-943052,108,1,109,HQ,,99.65,29497,,,Manually_Excluded_Plate,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.43,SequencedSample-939130,Nextclade-151636,Pangolin-867965,1,2025-01-29 15:10:15.431200,2025-01-29 15:10:15.431201
Consensus-868907,347,0,347,MQ,,96.76,30014,,,Manually_Excluded_Sample,0,0,0,0,0,1,1,0,0,0,0,0,0,Omicron,BA.1,B.1.1.529.1,SequencedSample-710909,Nextclade-218391,Pangolin-864661,1,2025-01-29 15:10:15.431337,2025-01-29 15:10:15.431338
