DateSampling,LineagesOfInterest,weight
2022-02-05,NULL,397
2021-01-15,Alpha,60
2022-02-22,NULL,227
2022-01-31,Omicron,27
2020-11-24,Alpha,14
2021-10-10,NULL,51
2021-02-25,Eta,12
2021-07-27,Alpha,16
2021-06-01,Delta,9
2020-12-29,Delta,15
2022-02-18,NULL,198
2021-09-29,Delta,446
2021-02-25,NULL,309
2022-01-28,NULL,377
2021-02-19,NULL,300
2021-11-13,Delta,1350
2021-07-29,Delta,864
2022-01-02,BA.1,4051
2022-01-03,BA.2,655
2022-01-07,NULL,265
2020-12-05,Alpha,7
2020-10-20,NULL,104
2021-10-20,NULL,89
2020-09-05,NULL,171
2021-06-17,Delta,20
2021-02-19,Eta,7
2021-05-31,Delta,6
2021-07-18,NULL,28
2021-03-15,Beta,3
2021-01-28,NULL,565
2021-05-25,Alpha,1144
2021-08-23,Delta,1056
2021-04-19,Alpha,777
2021-09-22,Delta,354
2021-07-16,Delta,863
2021-05-06,Alpha,758
2021-07-18,Delta,745
2021-08-22,Delta,773
2022-01-15,NULL,218
2021-04-09,NULL,143
2022-01-19,BA.2,1775
2021-07-01,Delta,300
2021-09-10,NULL,31
2021-07-19,NULL,38
2022-01-25,Delta,6
2021-12-12,BA.2,4
2022-02-11,Omicron,7
2021-08-20,Alpha,2
2021-05-12,Alpha,1031
2021-11-08,NULL,146
2021-04-07,Alpha,748
2021-02-22,Alpha,449
2021-05-22,Alpha,721
2021-04-08,Alpha,783
2021-05-02,Alpha,641
2022-02-25,BA.2,2443
2022-01-29,BA.2,1486
2022-01-22,BA.2,1801
2021-07-13,Alpha,129
2021-10-11,NULL,127
2021-01-28,Alpha,87
2021-06-16,Alpha,423
2021-11-11,NULL,115
2021-12-31,BA.1,432
2021-03-16,NULL,362
2021-04-28,NULL,195
2022-02-11,BA.1,164
2020-11-16,Alpha,16
2021-08-10,Alpha,2
2021-04-23,Beta,2
2021-04-22,Delta,1
2021-09-08,Alpha,2
2021-02-07,Beta,2
2021-08-30,Alpha,2
2021-01-10,Beta,1
2021-08-13,Alpha,3
2021-12-23,Omicron,2
2021-01-19,Beta,5
2021-04-03,Eta,5
2021-06-03,Gamma,3
2020-12-20,Delta,2
2021-03-02,Beta,4
2021-08-17,Alpha,1
2022-02-03,Delta,1
2021-07-07,Gamma,2
2021-03-07,Alpha,492
2021-12-15,NULL,606
2021-09-19,NULL,23
2021-10-21,Delta,1482
2021-05-03,NULL,258
2020-12-30,NULL,818
2022-01-28,BA.2,1274
2021-07-29,NULL,73
2021-12-01,BA.1,72
2021-02-25,BA.2,1
2021-12-18,NULL,307
2021-05-01,NULL,225
2021-03-30,NULL,170
2021-06-05,NULL,71
2021-01-12,Alpha,64
2021-05-03,Eta,1
2021-11-26,Delta,2316
2021-06-03,Alpha,820
2021-09-20,Delta,417
2021-05-20,NULL,302
2021-01-14,NULL,1035
2021-01-21,NULL,986
2021-04-29,Alpha,732
2020-11-08,NULL,518
2021-07-08,Delta,376
2021-11-10,NULL,162
2021-07-27,Delta,998
2021-08-13,Delta,984
2021-03-29,NULL,221
2021-06-20,Alpha,151
2021-03-31,Eta,14
2021-02-14,Beta,3
2022-01-01,Delta,58
2021-09-04,NULL,47
2021-10-06,NULL,73
2020-10-03,NULL,15
2020-12-28,Delta,12
2021-06-18,Alpha,163
2021-05-06,NULL,113
2021-05-27,NULL,194
2020-12-01,NULL,684
2022-03-01,NULL,195
2020-11-13,NULL,664
2021-03-25,NULL,212
2021-03-15,NULL,354
2021-03-09,Alpha,538
2020-10-06,NULL,24
2021-03-05,NULL,186
2020-11-10,NULL,571
2021-07-28,NULL,106
2021-04-23,Delta,1
2022-02-08,Delta,3
2021-12-10,NULL,443
2021-11-17,Delta,1903
2022-02-01,NULL,262
2022-01-13,NULL,281
2021-12-09,NULL,462
2020-09-06,NULL,165
2021-05-11,NULL,176
2021-05-10,NULL,272
2021-07-17,Alpha,43
2021-01-24,NULL,534
2021-11-05,NULL,142
2021-12-26,BA.2,143
2021-08-25,NULL,79
2020-09-07,NULL,110
2020-09-11,NULL,91
2021-06-27,Alpha,136
2021-03-02,Eta,11
2021-11-22,BA.1,1
2020-11-15,NULL,759
2021-12-10,Delta,1693
2021-12-09,Delta,1331
2021-09-21,Delta,370
2021-12-19,NULL,282
2021-09-07,Delta,643
2021-06-26,Delta,61
2021-11-15,NULL,175
2020-10-25,NULL,166
2022-02-20,NULL,189
2020-12-14,Alpha,23
2020-09-24,NULL,187
2021-03-17,Eta,43
2021-07-14,Alpha,83
2021-01-30,NULL,370
2021-02-21,Alpha,301
2021-10-04,NULL,57
2021-08-09,NULL,78
2021-08-30,NULL,67
2022-01-29,Omicron,7
2021-04-06,Beta,2
2021-05-17,Gamma,1
2022-02-23,Omicron,4
2021-08-16,Alpha,5
2021-04-08,Eta,7
2021-06-02,Delta,5
2021-06-09,Gamma,1
2021-03-22,Gamma,4
2021-05-20,Gamma,1
2021-05-10,Delta,4
2021-02-04,Eta,5
2021-07-19,Beta,2
2021-07-18,Beta,1
2021-01-30,Gamma,2
2021-02-28,Gamma,1
2020-11-13,Gamma,1
2021-01-28,Eta,2
2021-04-20,Delta,2
2021-03-04,Beta,1
2021-07-23,Delta,733
2020-12-13,NULL,1228
2021-11-23,Delta,2492
2022-01-21,NULL,313
2022-01-04,NULL,309
2022-02-26,NULL,158
2021-03-10,Alpha,426
2021-03-06,Alpha,799
2022-01-17,Delta,17
2021-10-06,Delta,703
2021-04-27,Alpha,717
2021-10-07,NULL,57
2022-01-02,Delta,331
2021-02-22,Eta,22
2021-02-17,Alpha,236
2021-03-12,Eta,13
2021-04-29,Delta,6
2022-02-21,Omicron,3
2021-05-13,NULL,141
2020-11-27,NULL,833
2021-02-16,Alpha,248
2021-01-22,NULL,744
2021-11-28,Delta,2090
2022-01-18,NULL,302
2021-06-14,Alpha,289
2021-12-30,BA.1,896
2022-01-05,Delta,86
2021-05-23,NULL,141
2021-08-11,NULL,71
2021-10-09,NULL,71
2021-03-08,NULL,319
2021-12-05,BA.1,150
2021-09-22,NULL,26
2022-01-13,Omicron,13
2021-12-17,BA.2,27
2021-02-08,Eta,4
2021-10-16,Delta,654
2021-02-12,NULL,211
2021-01-09,NULL,1041
2022-02-16,NULL,236
2020-11-14,NULL,481
2021-04-17,Alpha,675
2022-01-30,BA.1,380
2021-07-05,NULL,72
2021-04-22,Alpha,535
2020-10-13,NULL,251
2021-05-26,NULL,248
2020-12-03,NULL,829
2021-05-28,NULL,243
2022-02-02,BA.2,1078
2022-01-16,BA.2,1292
2021-07-03,NULL,78
2021-06-12,Delta,19
2021-07-20,NULL,25
2022-01-08,Delta,27
2021-12-31,BA.2,127
2020-09-08,NULL,33
2020-12-15,Alpha,30
2022-01-23,Delta,8
2021-07-31,Delta,781
2021-04-17,NULL,280
2021-07-20,Delta,961
2021-02-24,NULL,242
2020-12-09,NULL,909
2021-04-25,Alpha,672
2021-03-20,NULL,123
2021-05-07,NULL,194
2020-11-19,NULL,604
2021-12-23,NULL,255
2021-05-08,NULL,161
2022-02-18,BA.1,127
2022-02-21,BA.1,92
2021-03-17,Beta,2
2021-07-24,Alpha,20
2021-06-18,NULL,53
2020-09-10,NULL,51
2022-01-20,Delta,7
2021-09-24,NULL,18
2021-03-24,Gamma,1
2021-05-19,Delta,2
2022-02-14,Omicron,10
2022-02-01,Omicron,8
2021-03-08,Eta,7
2021-02-10,Eta,1
2021-05-13,Delta,6
2021-09-01,Alpha,1
2021-02-12,Eta,1
2021-06-30,Beta,3
2021-03-02,Gamma,4
2021-02-04,Beta,1
2022-01-21,Delta,4
2021-05-08,Eta,1
2021-04-03,Beta,2
2021-04-24,Beta,2
2021-02-20,BA.2,1
2021-04-26,Delta,2
2021-09-13,Alpha,1
2022-02-02,Delta,1
2021-02-17,Beta,2
2022-02-16,Delta,1
2021-10-05,NULL,67
2021-12-13,NULL,644
2021-11-29,NULL,146
2020-11-06,NULL,735
2021-10-18,Delta,930
2021-08-16,NULL,88
2021-04-10,Alpha,571
2021-08-27,Delta,833
2022-01-06,NULL,154
2021-05-13,Alpha,826
2021-03-28,NULL,176
2021-12-31,Delta,67
2021-03-22,Alpha,606
2021-05-19,NULL,208
2022-01-25,BA.2,2485
2022-02-10,BA.1,139
2021-07-09,Delta,401
2022-01-05,NULL,235
2021-01-17,NULL,752
2021-09-17,Delta,441
2021-07-09,Alpha,83
2021-11-28,NULL,145
2021-12-28,Delta,227
2021-05-02,NULL,138
2022-01-12,Omicron,10
2022-02-03,BA.1,221
2021-03-10,NULL,162
2020-10-19,NULL,126
2021-12-19,BA.2,62
2022-02-25,NULL,193
2021-05-22,NULL,120
2020-12-06,Alpha,17
2021-07-13,Gamma,3
2020-11-21,Alpha,15
2021-06-09,NULL,33
2021-06-04,Delta,16
2022-02-18,Omicron,3
2021-05-28,Alpha,1035
2021-11-03,Delta,2169
2021-07-05,Delta,338
2021-02-22,NULL,427
2021-06-01,Alpha,882
2022-01-24,NULL,492
2021-11-27,Delta,2011
2021-02-20,NULL,213
2021-09-15,Delta,454
2021-12-15,BA.1,848
2022-01-01,BA.1,414
2021-12-20,NULL,611
2021-02-18,Alpha,272
2021-03-09,NULL,231
2021-06-06,Alpha,548
2021-03-12,NULL,178
2021-10-24,NULL,59
2022-02-11,BA.2,2148
2022-02-08,BA.1,189
2021-05-18,Delta,4
2021-02-20,Eta,2
2021-01-19,Gamma,2
2022-01-18,Delta,16
2021-08-15,Delta,1024
2021-02-01,NULL,500
2021-04-06,Alpha,672
2021-02-08,NULL,455
2021-08-08,Delta,1061
2020-11-03,NULL,483
2020-11-21,NULL,627
2021-11-04,Delta,2222
2022-01-04,Delta,51
2021-11-27,NULL,222
2021-11-26,NULL,195
2021-05-30,NULL,114
2021-07-19,Alpha,78
2021-03-05,Beta,1
2022-01-27,Omicron,7
2021-10-27,Alpha,2
2021-09-18,NULL,17
2021-02-15,Eta,6
2021-12-20,BA.2,99
2021-05-21,Delta,2
2021-02-26,Beta,2
2021-02-09,Beta,2
2021-04-12,Eta,1
2021-03-16,Alpha,794
2021-07-02,Alpha,165
2021-08-06,Delta,1112
2021-01-25,NULL,782
2021-02-27,Alpha,363
2022-02-04,BA.2,2216
2021-12-27,BA.1,1796
2021-06-17,NULL,45
2022-01-15,BA.1,839
2022-01-14,BA.2,1388
2021-12-28,BA.2,272
2021-06-29,Delta,276
2022-01-12,NULL,225
2021-01-08,Alpha,37
2021-12-29,BA.2,110
2021-07-01,Alpha,144
2021-03-20,Eta,23
2021-03-19,Eta,12
2021-06-26,Beta,3
2021-07-18,Alpha,44
2022-01-23,NULL,250
2021-04-04,Alpha,414
2021-07-23,NULL,77
2021-12-17,Delta,395
2021-07-03,Delta,251
2022-01-11,Omicron,7
2021-06-19,Delta,14
2020-12-31,Alpha,26
2020-12-27,Delta,10
2021-03-09,Eta,10
2021-02-01,Eta,8
2021-09-27,NULL,19
2022-01-14,Delta,17
2021-02-24,Eta,11
2021-03-03,Beta,7
2020-12-29,Alpha,8
2021-04-11,Beta,3
2021-11-25,BA.1,4
2021-05-30,Delta,3
2021-01-01,Delta,2
2022-02-11,Delta,1
2021-05-24,Delta,3
2021-06-27,Gamma,2
2021-05-26,Delta,4
2021-01-14,Gamma,2
2021-01-02,Gamma,1
2021-01-29,Eta,1
2021-06-22,Gamma,1
2021-03-08,Alpha,617
2021-04-28,Alpha,752
2021-11-06,Delta,1770
2021-10-23,Delta,1264
2021-05-16,Alpha,850
2021-07-06,Delta,398
2021-07-28,Delta,990
2021-02-19,Alpha,307
2021-08-14,NULL,285
2021-01-19,NULL,1118
2021-01-29,Alpha,92
2021-10-02,Delta,359
2020-11-23,NULL,608
2021-03-11,NULL,176
2021-08-19,NULL,110
2022-01-09,BA.2,323
2021-07-13,NULL,72
2021-02-01,Alpha,103
2022-01-20,NULL,207
2021-01-21,Eta,1
2021-06-22,Delta,37
2021-07-27,NULL,80
2021-01-31,Alpha,90
2020-12-13,Alpha,28
2021-08-29,Alpha,1
2020-09-13,NULL,67
2020-12-08,Alpha,45
2021-02-02,Eta,8
2021-05-28,Beta,2
2021-10-17,Delta,804
2021-12-19,Delta,655
2021-10-03,Delta,460
2021-01-04,NULL,1467
2021-07-22,Delta,703
2021-02-26,NULL,294
2021-03-15,Eta,45
2022-01-10,BA.2,929
2022-02-12,BA.1,165
2021-12-27,BA.2,400
2021-04-08,NULL,200
2020-10-27,NULL,403
2021-04-09,Alpha,626
2021-05-24,NULL,122
2021-10-02,NULL,22
2021-08-18,NULL,50
2020-09-19,NULL,65
2022-02-03,Omicron,22
2021-09-08,NULL,45
2022-02-20,BA.1,61
2022-01-02,Omicron,17
2021-01-12,Beta,1
2021-08-26,NULL,167
2020-12-07,NULL,845
2021-08-25,Delta,1043
2021-10-30,Delta,1055
2021-04-05,Alpha,460
2021-05-08,Alpha,814
2021-04-07,NULL,334
2020-10-14,NULL,254
2022-01-27,NULL,193
2022-01-11,NULL,341
2022-01-31,BA.1,530
2020-11-29,Alpha,26
2021-05-12,NULL,178
2021-05-23,Alpha,683
2021-03-02,NULL,247
2021-11-21,NULL,122
2021-02-12,Alpha,122
2020-10-31,NULL,330
2021-11-22,NULL,178
2022-02-01,BA.1,170
2022-02-09,Omicron,4
2021-09-26,NULL,31
2020-10-30,NULL,190
2022-02-17,NULL,232
2021-08-08,NULL,50
2022-02-10,Omicron,7
2021-06-16,NULL,26
2020-12-06,NULL,618
2020-10-29,NULL,262
2020-12-16,NULL,1501
2021-07-09,NULL,90
2021-04-15,Alpha,832
2021-08-13,NULL,219
2022-01-25,BA.1,652
2021-01-25,Alpha,95
2021-03-17,NULL,174
2021-01-23,NULL,455
2021-08-27,NULL,92
2021-07-04,Alpha,95
2021-02-03,NULL,414
2021-01-11,Alpha,75
2021-01-01,Alpha,32
2020-12-24,Alpha,19
2021-04-30,Delta,5
2021-03-25,Beta,2
2021-03-21,Gamma,2
2021-01-03,Delta,1
2021-05-25,Eta,1
2021-03-07,Beta,4
2021-04-11,Delta,3
2021-03-16,Beta,3
2021-04-14,Beta,2
2022-02-19,Omicron,2
2021-05-16,Delta,3
2021-12-22,Omicron,1
2022-02-17,Delta,1
2021-05-31,Beta,1
2020-10-22,NULL,172
2020-11-26,NULL,599
2020-12-29,NULL,807
2021-01-18,NULL,1201
2021-12-16,Delta,776
2021-05-17,Alpha,1045
2022-02-24,NULL,252
2021-10-08,NULL,80
2021-06-22,Alpha,139
2020-12-31,NULL,732
2020-11-25,NULL,390
2022-02-28,BA.2,1906
2022-01-07,BA.2,988
2022-01-04,BA.1,500
2022-01-18,BA.1,1023
2022-01-22,BA.1,658
2021-09-01,Delta,817
2021-04-30,NULL,168
2021-02-03,Alpha,108
2022-02-07,BA.1,242
2020-11-22,Alpha,14
2021-10-27,NULL,157
2020-10-21,NULL,104
2022-01-17,Omicron,16
2021-02-23,Eta,11
2021-03-14,Eta,8
2020-12-11,Alpha,26
2021-06-24,NULL,17
2020-11-20,NULL,884
2021-09-09,Delta,592
2021-03-02,Alpha,422
2021-06-06,Delta,4
2020-12-28,NULL,870
2020-12-11,NULL,1404
2020-09-02,NULL,131
2020-12-26,Alpha,43
2021-06-28,Alpha,203
2022-01-23,BA.1,620
2022-01-09,BA.1,419
2022-02-06,BA.2,2108
2021-12-26,BA.1,733
2021-07-25,NULL,31
2020-09-22,NULL,164
2021-06-24,Alpha,148
2021-06-20,NULL,24
2021-06-27,NULL,46
2020-09-12,NULL,33
2021-05-14,Delta,5
2021-10-28,Delta,1696
2021-12-05,Delta,4363
2020-12-23,NULL,725
2021-01-10,NULL,998
2021-10-12,Delta,810
2021-06-27,Delta,100
2021-12-22,Delta,323
2021-08-21,Delta,794
2021-01-26,NULL,671
2021-08-01,Alpha,15
2021-07-22,NULL,46
2021-05-31,NULL,134
2021-02-14,NULL,204
2021-12-25,BA.1,413
2021-11-17,NULL,111
2021-06-15,Delta,22
2021-02-14,Eta,10
2022-01-23,Omicron,11
2021-08-31,Delta,636
2021-12-03,Delta,2881
2021-10-29,Delta,1567
2020-11-22,NULL,644
2021-12-06,Delta,4986
2021-11-19,Delta,2058
2021-02-11,Alpha,137
2021-04-13,NULL,300
2021-01-03,NULL,1136
2020-11-12,NULL,714
2021-09-28,Delta,539
2021-01-18,Alpha,91
2021-02-07,NULL,301
2021-06-22,NULL,34
2021-04-14,Alpha,665
2021-06-01,NULL,196
2021-07-24,Delta,673
2021-08-03,NULL,94
2022-01-03,Delta,173
2021-07-31,Alpha,9
2021-12-24,Delta,177
2021-07-16,NULL,51
2020-12-04,Alpha,9
2022-01-13,Delta,33
2021-06-23,Delta,43
2022-01-18,Omicron,11
2021-03-16,Eta,33
2022-03-01,Omicron,1
2022-01-04,Omicron,1
2021-04-13,Eta,3
2021-05-21,Gamma,5
2021-03-30,Beta,2
2021-04-09,Eta,6
2021-02-07,Eta,2
2020-11-20,Alpha,11
2021-12-29,Omicron,1
2021-01-02,Delta,4
2021-03-20,Gamma,3
2021-02-05,Beta,1
2021-04-25,Delta,4
2021-07-09,Gamma,1
2021-05-30,Gamma,2
2021-05-28,Gamma,2
2021-05-13,Gamma,1
2021-04-16,Beta,2
2021-10-16,Alpha,2
2021-05-24,Gamma,2
2021-07-07,Alpha,107
2021-05-01,Alpha,648
2021-05-18,Alpha,983
2021-05-21,NULL,211
2020-09-01,NULL,184
2020-12-12,NULL,831
2021-07-11,Delta,730
2021-12-14,Delta,726
2021-05-15,Alpha,996
2022-01-20,BA.1,731
2022-01-23,BA.2,1996
2020-12-25,Alpha,28
2021-10-26,NULL,85
2022-02-27,BA.1,49
2020-11-03,Alpha,2
2020-12-28,Alpha,12
2022-02-26,BA.1,71
2021-06-20,Delta,15
2021-03-11,Eta,6
2021-11-14,Delta,1516
2021-04-18,NULL,347
2021-01-15,NULL,917
2021-09-05,Delta,507
2021-07-15,Delta,1031
2021-05-09,NULL,204
2021-05-31,Alpha,1386
2022-01-30,BA.2,2453
2022-02-11,NULL,159
2021-10-19,NULL,84
2022-01-14,NULL,229
2021-12-11,NULL,292
2021-02-02,Alpha,135
2020-10-24,NULL,150
2021-12-02,BA.1,46
2020-09-26,NULL,76
2021-01-27,Alpha,100
2021-02-26,Eta,12
2020-11-28,Alpha,16
2022-01-30,Omicron,15
2021-12-21,Delta,477
2021-11-20,Delta,1764
2021-10-13,Delta,928
2021-03-18,Alpha,524
2021-09-09,NULL,82
2021-12-23,Delta,307
2021-02-08,Alpha,132
2022-02-21,BA.2,2704
2022-02-18,BA.2,3014
2021-12-30,BA.2,199
2021-08-02,Alpha,6
2022-01-11,BA.1,1311
2022-01-27,BA.1,409
2020-10-09,NULL,155
2021-04-23,Eta,3
2021-08-10,NULL,95
2021-11-20,NULL,106
2021-11-02,NULL,139
2021-05-09,Delta,6
2021-07-16,Alpha,51
2021-05-30,Alpha,757
2021-05-04,NULL,391
2021-10-25,Delta,1436
2021-08-17,Delta,989
2021-07-14,Delta,1239
2021-02-25,Alpha,322
2021-11-18,NULL,237
2020-12-27,NULL,883
2021-10-18,NULL,58
2022-02-23,NULL,209
2022-01-12,BA.2,1159
2021-06-11,NULL,88
2021-06-04,NULL,58
2021-03-24,NULL,179
2021-03-23,NULL,229
2021-07-03,Alpha,105
2022-01-21,BA.1,782
2021-03-06,Beta,4
2021-06-16,Delta,39
2021-12-29,NULL,147
2021-06-08,NULL,93
2020-10-01,NULL,79
2021-05-25,NULL,191
2021-02-05,Eta,5
2021-07-25,Alpha,15
2021-04-22,Beta,11
2022-02-07,Omicron,11
2020-11-17,Alpha,9
2021-11-23,BA.1,2
2021-12-05,BA.2,1
2021-02-06,Eta,6
2022-01-28,Delta,3
2021-04-21,Delta,5
2021-06-28,Beta,2
2021-03-10,Beta,2
2021-02-03,Eta,5
2021-05-04,Gamma,1
2020-12-29,Gamma,4
2021-04-10,Eta,4
2021-04-24,Delta,4
2021-04-18,Delta,3
2021-08-23,Alpha,1
2021-06-25,Gamma,1
2021-04-17,Beta,1
2021-07-31,NULL,52
2021-05-20,Alpha,850
2021-07-04,Delta,304
2020-11-11,NULL,496
2021-07-11,Alpha,71
2021-09-16,Delta,438
2021-07-07,Delta,443
2022-02-09,BA.2,1656
2022-02-06,BA.1,204
2021-09-18,Delta,333
2021-03-05,Alpha,506
2021-04-11,Alpha,511
2021-09-02,NULL,40
2021-12-01,NULL,397
2021-07-10,NULL,170
2022-02-22,BA.1,74
2022-01-16,Delta,16
2021-07-28,Alpha,6
2021-07-26,Alpha,12
2021-12-08,Delta,1936
2021-11-07,Delta,2239
2021-01-12,NULL,1328
2021-01-01,NULL,1132
2021-04-12,NULL,240
2021-04-29,NULL,226
2021-12-31,NULL,126
2021-10-16,NULL,132
2022-02-19,BA.1,62
2021-12-25,Delta,122
2021-04-02,NULL,100
2021-07-14,NULL,76
2021-08-01,NULL,56
2021-07-04,NULL,123
2021-06-03,NULL,54
2022-01-12,Delta,27
2021-03-25,Eta,16
2021-03-22,Eta,27
2020-12-22,Alpha,11
2021-04-24,Alpha,732
2021-03-17,Alpha,556
2021-06-30,Alpha,227
2021-03-04,NULL,159
2021-02-11,NULL,314
2020-12-02,NULL,472
2021-08-02,Delta,948
2021-02-09,Alpha,186
2022-01-02,BA.2,1241
2022-01-18,BA.2,2001
2021-04-21,Alpha,606
2022-01-31,NULL,498
2021-05-27,Alpha,1139
2021-12-09,BA.1,227
2021-12-25,NULL,136
2021-03-04,Eta,2
2021-08-10,Delta,1492
2021-10-26,Delta,1269
2021-10-19,Delta,1167
2021-03-14,Alpha,425
2022-02-02,NULL,236
2022-02-16,BA.2,1784
2022-01-04,BA.2,174
2021-06-09,Alpha,503
2021-02-28,Alpha,319
2021-12-03,BA.1,45
2022-01-16,NULL,248
2021-01-21,Alpha,115
2021-02-04,Alpha,84
2021-09-23,NULL,25
2022-02-05,Omicron,12
2021-05-12,Delta,5
2021-02-24,Beta,1
2020-11-06,Alpha,2
2021-09-16,NULL,28
2022-01-25,Omicron,16
2021-01-14,Eta,1
2021-02-22,BA.2,1
2022-01-19,Omicron,11
2020-11-25,Alpha,8
2020-11-13,Alpha,5
2021-08-18,Alpha,3
2020-10-04,NULL,15
2021-04-15,Eta,5
2021-05-15,Delta,7
2021-07-21,Eta,1
2020-10-25,Alpha,1
2021-03-27,Eta,6
2020-10-31,Alpha,1
2021-06-20,Gamma,1
2021-01-28,Gamma,1
2021-04-19,Delta,2
2020-12-18,Delta,1
2021-08-21,Alpha,1
2021-01-08,Gamma,1
2021-03-28,Beta,1
2021-03-21,Beta,1
2021-03-19,Beta,1
2021-01-08,BA.1,1
2021-11-08,Delta,2333
2021-12-16,NULL,435
2021-10-20,Delta,1397
2021-07-08,Alpha,93
2021-12-11,Delta,1307
2021-08-29,Delta,866
2020-12-10,Alpha,8
2021-02-15,Alpha,205
2021-03-26,NULL,241
2021-03-25,Alpha,577
2022-02-14,BA.2,3036
2022-01-26,BA.2,1721
2021-12-17,BA.1,467
2021-12-20,BA.1,1160
2021-01-13,Alpha,51
2021-10-22,NULL,156
2021-07-06,Alpha,130
2021-12-22,BA.2,80
2021-04-28,Delta,1
2021-12-28,Omicron,5
2021-01-30,Alpha,69
2021-06-07,Gamma,3
2022-01-19,Delta,9
2021-03-23,Beta,2
2020-12-15,NULL,1730
2021-02-06,Alpha,129
2021-04-16,Alpha,702
2022-01-25,NULL,289
2021-04-23,Alpha,612
2021-03-13,Alpha,552
2021-01-05,NULL,1412
2021-09-12,Delta,402
2022-02-10,BA.2,1563
2022-02-17,BA.2,2100
2020-10-17,NULL,256
2021-03-26,Eta,21
2021-02-05,Alpha,125
2022-01-16,BA.1,791
2021-12-29,BA.1,520
2021-10-13,NULL,79
2021-10-12,NULL,193
2022-02-02,BA.1,176
2021-10-30,NULL,49
2022-01-16,Omicron,13
2021-03-01,Eta,16
2020-12-12,Alpha,16
2022-02-26,Delta,1
2021-06-06,NULL,59
2022-01-22,Delta,8
2021-04-25,NULL,245
2021-08-18,Delta,882
2021-06-12,Alpha,275
2020-10-12,NULL,207
2021-06-10,Alpha,410
2021-02-10,Alpha,191
2021-09-06,Delta,592
2020-09-04,NULL,146
2021-09-29,NULL,20
2021-04-04,NULL,102
2021-10-11,Delta,787
2022-02-03,BA.2,1852
2020-09-09,NULL,86
2021-04-23,NULL,139
2021-07-24,NULL,32
2021-11-19,NULL,91
