LineagesOfInterest,BatchSource,StartDate,EndDate,weights
NULL,Pandora,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,51
NULL,Panem,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,2446
Alpha,Agrabah,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,6
Alpha,Gilead,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,11
Alpha,Hogwarts,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,3
Alpha,Middle-Earth,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,66
Alpha,Narnia,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,8
Alpha,Pandora,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,7
Alpha,Panem,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,673
Beta,Narnia,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,1
Beta,Panem,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,5
Eta,Gilead,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,1
Eta,Panem,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,37
Gamma,Panem,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,2
NULL,Agrabah,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,16
NULL,Gilead,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,42
NULL,Hogwarts,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,13
NULL,Middle-Earth,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,238
NULL,Narnia,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,46
NULL,Pandora,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,36
NULL,Panem,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,1812
Alpha,Agrabah,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,16
Alpha,Gilead,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,6
Alpha,Middle-Earth,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,20
Alpha,Narnia,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,17
Alpha,Pandora,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,3
Alpha,Panem,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,987
Beta,Middle-Earth,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,2
Beta,Panem,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,3
Eta,Pandora,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,1
Eta,Panem,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,11
Gamma,Panem,2021-02-08 00.00.00.000,2021-02-14 00.00.00.000,2
NULL,Agrabah,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,28
NULL,Gilead,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,8
NULL,Hogwarts,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,21
NULL,Middle-Earth,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,23
NULL,Narnia,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,39
NULL,Pandora,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,37
NULL,Panem,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,1806
Alpha,Agrabah,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,43
Alpha,Gilead,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,9
Alpha,Hogwarts,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,6
Alpha,Middle-Earth,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,7
Alpha,Narnia,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,13
Alpha,Pandora,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,3
Alpha,Panem,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,1581
BA.2,Hogwarts,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,1
Beta,Narnia,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,1
Beta,Panem,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,6
Eta,Gilead,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,3
Eta,Pandora,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,2
Eta,Panem,2021-02-15 00.00.00.000,2021-02-21 00.00.00.000,53
NULL,Agrabah,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,17
NULL,Gilead,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,16
NULL,Hogwarts,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,132
NULL,Narnia,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,45
NULL,Pandora,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,40
NULL,Panem,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,1710
Alpha,Agrabah,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,48
Alpha,Gilead,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,19
Alpha,Hogwarts,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,304
Alpha,Narnia,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,18
Alpha,Pandora,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,5
Alpha,Panem,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,2331
BA.2,Hogwarts,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,3
Beta,Narnia,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,2
Beta,Panem,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,3
Eta,Gilead,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,3
Eta,Hogwarts,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,9
Eta,Pandora,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,2
Eta,Panem,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,67
Gamma,Pandora,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,1
Gamma,Panem,2021-02-22 00.00.00.000,2021-02-28 00.00.00.000,2
NULL,Agrabah,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,22
NULL,Gilead,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,15
NULL,Hogwarts,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,170
NULL,Narnia,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,38
NULL,Pandora,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,61
NULL,Panem,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,1369
Alpha,Agrabah,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,39
Alpha,Gilead,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,41
Alpha,Hogwarts,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,717
Alpha,Narnia,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,19
Alpha,Pandora,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,26
Alpha,Panem,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,2504
Beta,Gilead,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,2
Beta,Hogwarts,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,2
Beta,Narnia,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,1
Beta,Panem,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,13
Eta,Gilead,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,1
Eta,Hogwarts,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,19
Eta,Narnia,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,2
Eta,Panem,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,56
Gamma,Pandora,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,4
Gamma,Panem,2021-03-01 00.00.00.000,2021-03-07 00.00.00.000,2
NULL,Agrabah,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,31
NULL,Gilead,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,21
NULL,Hogwarts,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,412
NULL,Narnia,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,13
NULL,Pandora,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,42
NULL,Panem,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,1056
Alpha,Agrabah,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,47
Alpha,Gilead,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,30
Alpha,Hogwarts,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,417
Alpha,Narnia,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,22
Alpha,Pandora,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,37
Alpha,Panem,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,2978
Beta,Gilead,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,1
Beta,Narnia,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,1
Beta,Panem,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,10
Eta,Gilead,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,4
Eta,Hogwarts,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,3
Eta,Narnia,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,1
Eta,Pandora,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,1
Eta,Panem,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,56
Gamma,Panem,2021-03-08 00.00.00.000,2021-03-14 00.00.00.000,1
NULL,Agrabah,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,16
NULL,Gilead,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,12
NULL,Hogwarts,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,184
NULL,Narnia,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,16
NULL,Pandora,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,59
NULL,Panem,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,1314
Alpha,Agrabah,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,45
Alpha,Gilead,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,29
Alpha,Hogwarts,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,566
Alpha,Narnia,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,29
Alpha,Pandora,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,62
Alpha,Panem,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,3263
Beta,Hogwarts,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,2
Beta,Panem,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,8
Eta,Agrabah,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,1
Eta,Gilead,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,7
Eta,Hogwarts,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,44
Eta,Narnia,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,1
Eta,Panem,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,139
Gamma,Panem,2021-03-15 00.00.00.000,2021-03-21 00.00.00.000,3
NULL,Agrabah,2021-03-22 00.00.00.000,2021-03-28 00.00.00.000,16
