Nextclade_pango,clade,lineage,UnaliasedPango,LineagesOfInterest,WhoVariant,amount_nextclade_pangos
B.1.160,20A,B.1,B.1.160,NULL,NULL,1
BA.1.1.7,21K (Omicron),BA.1.1,B.1.1.529.1.1.7,BA.1,Omicron,2
B.1,20A,B.1.1.191,B.1,NULL,NULL,2
B.1.617.2,21J (Delta),AY.41,B.1.617.2,Delta,Delta,1
AY.4.17,21J (Delta),AY.4,B.1.617.2.4.17,Delta,Delta,105
AY.16,21A (Delta),B.1.617.2,B.1.617.2.16,Delta,Delta,4
B.1.1.277,20B,B.1.1.277,B.1.1.277,NULL,NULL,695
B.1.1.159,20B,B.1.1.159,B.1.1.159,NULL,NULL,76
B.1.177,20E (EU1),U.2,B.1.177,NULL,NULL,6
B.1.177.46,20E (EU1),B.1.177.46,B.1.177.46,NULL,NULL,38
AY.7,21J (Delta),AY.7,B.1.617.2.7,Delta,Delta,11
B.1,20A,B.1.36.25,B.1,NULL,NULL,33
B.1.177.12,20E (EU1),B.1.177.12,B.1.177.12,NULL,NULL,9031
BA.1,21K (Omicron),BA.1.21,B.1.1.529.1,BA.1,Omicron,69
B.1.1.311,20B,B.1.1.311,B.1.1.311,NULL,NULL,9
B.1.36,20A,B.1,B.1.36,NULL,NULL,7
AY.120,21J (Delta),AY.120.2,B.1.617.2.120,Delta,Delta,1
BA.1,21K (Omicron),BA.1.5,B.1.1.529.1,BA.1,Omicron,3
B.1.1.25,20B,B.1.1,B.1.1.25,NULL,NULL,1
B.1.1.486,20B,B.1.1.486,B.1.1.486,NULL,NULL,2
AY.126,21J (Delta),AY.126,B.1.617.2.126,Delta,Delta,9823
AY.4.13,21J (Delta),AY.4.13,B.1.617.2.4.13,Delta,Delta,64
B.1.526,21F (Iota),B.1.526,B.1.526,NULL,NULL,11
B.1.1.203,20B,B.1.1,B.1.1.203,NULL,NULL,3
AY.132,21J (Delta),B.1.617.2,B.1.617.2.132,Delta,Delta,1
B.1.617.2,21J (Delta),AY.34,B.1.617.2,Delta,Delta,3
B.1,20A,B.1.177.21,B.1,NULL,NULL,25
AY.111,21J (Delta),AY.111,B.1.617.2.111,Delta,Delta,990
Q.1,20I (Alpha; V1),B.1.1.7,B.1.1.7.1,Alpha,Alpha,426
AY.43,21J (Delta),AY.43,B.1.617.2.43,Delta,Delta,32746
B.1.617.2,21J (Delta),AY.4.5,B.1.617.2,Delta,Delta,6
B.1.617.2,21J (Delta),AY.92,B.1.617.2,Delta,Delta,2
BA.2.45,21L (Omicron),BA.2.45,B.1.1.529.2.45,BA.2,Omicron,21
BA.1.1.7,21K (Omicron),BA.1.1.7,B.1.1.529.1.1.7,BA.1,Omicron,5
B.1.177.87,20E (EU1),B.1.177.87,B.1.177.87,NULL,NULL,15
B.1,20A,B.1.1.288,B.1,NULL,NULL,2
B.1.1.420,20B,B.1.1.420,B.1.1.420,NULL,NULL,42
B.1.36.7,20A,B.1.36.7,B.1.36.7,NULL,NULL,4
AY.7,21J (Delta),AY.7.1,B.1.617.2.7,Delta,Delta,153
B.1.1.269,20B,B.1.1.269,B.1.1.269,NULL,NULL,11
B.1.1.192,20B,B.1.1.192,B.1.1.192,NULL,NULL,1
B.1.36,20A,B.1.36.33,B.1.36,NULL,NULL,133
BA.1.14,21K (Omicron),BA.1.14,B.1.1.529.1.14,BA.1,Omicron,1143
BA.2.7,21L (Omicron),BA.2.7,B.1.1.529.2.7,BA.2,Omicron,22
B.1,20A,B.1.1.170,B.1,NULL,NULL,2
B.1.617.2,21J (Delta),AY.119,B.1.617.2,Delta,Delta,1
B.1.530,20A,B.1.530,B.1.530,NULL,NULL,2
B.1.177.21,20E (EU1),B.1.177,B.1.177.21,NULL,NULL,17
B.1.1,20B,B.1.1.222,B.1.1,NULL,NULL,1
B.1.1,20B,B.1.1.519,B.1.1,NULL,NULL,3
B.1.1.28,20B,B.1.1.28,B.1.1.28,Gamma,Gamma,1
B.1.258.3,20A,B.1.258,B.1.258.3,NULL,NULL,249
BA.1,21K (Omicron),BA.1.17.2,B.1.1.529.1,BA.1,Omicron,33
BA.1.1.16,21K (Omicron),BA.1.1.16,B.1.1.529.1.1.16,BA.1,Omicron,4
BA.1,21K (Omicron),BA.1.17,B.1.1.529.1,BA.1,Omicron,11
AY.98,21J (Delta),AY.98.1,B.1.617.2.98,Delta,Delta,90
BA.2,21L (Omicron),BA.2.9.5,B.1.1.529.2,BA.2,Omicron,25
AY.39.1,21J (Delta),AY.39.1,B.1.617.2.39.1,Delta,Delta,11
B.1,20A,BA.2.10,B.1,NULL,NULL,2
XQ,recombinant,BA.2,XQ,NULL,NULL,1
B.1.1,20B,B.1.1.100,B.1.1,NULL,NULL,32
BA.1.7,21K (Omicron),BA.1.17,B.1.1.529.1.7,BA.1,Omicron,1
B.1.177.73,20E (EU1),B.1.177.73,B.1.177.73,NULL,NULL,5
BA.2.45,21L (Omicron),BA.2.9,B.1.1.529.2.45,BA.2,Omicron,1
B.1.1.433,20B,B.1.1.433,B.1.1.433,NULL,NULL,827
AY.95,21J (Delta),AY.95,B.1.617.2.95,Delta,Delta,20
AY.125.1,21J (Delta),AY.125.1,B.1.617.2.125.1,Delta,Delta,2
BA.1.21,21K (Omicron),BA.1.1,B.1.1.529.1.21,BA.1,Omicron,1
P.1.1,20J (Gamma; V3),P.1.1,B.1.1.28.1.1,Gamma,Gamma,8
B.1.389,20A,B.1.389,B.1.389,NULL,NULL,34
AY.53,21A (Delta),AY.53,B.1.617.2.53,Delta,Delta,134
B.1.619,20A,B.1,B.1.619,NULL,NULL,1
B.1,20A,B.1.534,B.1,NULL,NULL,1
B.1.1.485,20B,B.1.1,B.1.1.485,NULL,NULL,1
AD.2,20B,B.1.1.315,B.1.1.315.2,NULL,NULL,14
BA.1.21.1,21K (Omicron),BA.1.21.1,B.1.1.529.1.21.1,BA.1,Omicron,4
B.1.177.12,20E (EU1),B.1.177,B.1.177.12,NULL,NULL,5
AY.121,21J (Delta),AY.121,B.1.617.2.121,Delta,Delta,1903
BA.2,21L (Omicron),B.1.1.529,B.1.1.529.2,BA.2,Omicron,14
BA.2.37,21L (Omicron),BA.2.37,B.1.1.529.2.37,BA.2,Omicron,2
B.1,20A,B.1.480,B.1,NULL,NULL,1
AY.23,21J (Delta),AY.23,B.1.617.2.23,Delta,Delta,166
B.1.617.2,21A (Delta),AY.126,B.1.617.2,Delta,Delta,1
AY.39,21J (Delta),AY.126,B.1.617.2.39,Delta,Delta,1
B.1,20A,B.1.400,B.1,NULL,NULL,4
B.1.1,20B,B.1.1.411,B.1.1,NULL,NULL,1
B.1.177,20E (EU1),B.1.177.77,B.1.177,NULL,NULL,2
B.1.1,20B,B.1.1.266,B.1.1,NULL,NULL,1
B.1.617,20A,AY.122,B.1.617,NULL,NULL,1
B.1.1.372,20B,B.1.1.372,B.1.1.372,NULL,NULL,1
AY.104,21J (Delta),AY.104,B.1.617.2.104,Delta,Delta,1
B.1.617.2,21J (Delta),AY.4.6,B.1.617.2,Delta,Delta,37
BA.2.51,21L (Omicron),BA.2.51,B.1.1.529.2.51,BA.2,Omicron,202
B.1.617.2,21A (Delta),AY.4.6,B.1.617.2,Delta,Delta,3
B.1.617.2,21A (Delta),AY.26,B.1.617.2,Delta,Delta,1
B.1.558,20A,B.1.88.1,B.1.558,NULL,NULL,224
AZ.5,20B,AZ.5,B.1.1.318.5,NULL,NULL,5
AY.43,21J (Delta),AY.43.8,B.1.617.2.43,Delta,Delta,1
AY.122,21J (Delta),AY.39.1.1,B.1.617.2.122,Delta,Delta,1
BA.1.1,21K (Omicron),BA.1.1,B.1.1.529.1.1,BA.1,Omicron,5161
B.1,20A,B.1.1.298,B.1,NULL,NULL,18
B.1.617.2,21A (Delta),AY.42,B.1.617.2,Delta,Delta,1
A.2.5.2,19B,A.2.5.2,A.2.5.2,NULL,NULL,1
AY.28,21I (Delta),AY.28,B.1.617.2.28,Delta,Delta,4
BA.1,21K (Omicron),BA.1.12,B.1.1.529.1,BA.1,Omicron,1
B.1.1.1,20D,B.1.1.1,B.1.1.1,NULL,NULL,19
AY.118,21J (Delta),AY.118,B.1.617.2.118,Delta,Delta,37
B.1.177.16,20E (EU1),B.1.177.16,B.1.177.16,NULL,NULL,3
AY.4.2,21J (Delta),AY.4.2.1,B.1.617.2.4.2,Delta,Delta,2
AY.4.2,21J (Delta),AY.4,B.1.617.2.4.2,Delta,Delta,19
AY.9.2.2,21I (Delta),AY.9.2.2,B.1.617.2.9.2.2,Delta,Delta,89
B.1,20A,B.1.160.17,B.1,NULL,NULL,1
AY.36,21J (Delta),AY.36.1,B.1.617.2.36,Delta,Delta,1
B.1.474,20A,B.1.474,B.1.474,NULL,NULL,105
B.1,20A,B.1.1.153,B.1,NULL,NULL,1
B.1.1.348,20B,B.1.1.288,B.1.1.348,NULL,NULL,1
B.1.617.2,21J (Delta),AY.33.2,B.1.617.2,Delta,Delta,1
B.1.1.318,20B,B.1.1.318,B.1.1.318,NULL,NULL,13
BA.1.1.1,21K (Omicron),BA.1.1.1,B.1.1.529.1.1.1,BA.1,Omicron,808
C.23,20D,C.23,B.1.1.1.23,NULL,NULL,3
B.1.1.277,20B,B.1.1,B.1.1.277,NULL,NULL,8
B.1.1,20B,B.1.1.529,B.1.1,NULL,NULL,4
BA.2.32,21L (Omicron),BA.2.32,B.1.1.529.2.32,BA.2,Omicron,1
B.1.177,20E (EU1),B.1.177.14,B.1.177,NULL,NULL,59
AY.116,21J (Delta),AY.116,B.1.617.2.116,Delta,Delta,62
B.1.617.2,21J (Delta),AY.132,B.1.617.2,Delta,Delta,4
AY.122.6,21J (Delta),AY.122.6,B.1.617.2.122.6,Delta,Delta,28
B.1.617.2,21J (Delta),AY.126,B.1.617.2,Delta,Delta,514
BA.1.4,21K (Omicron),BA.1.4,B.1.1.529.1.4,BA.1,Omicron,2
B.1.1.317,20B,B.1.1,B.1.1.317,NULL,NULL,2
B.1.617.2,21A (Delta),AY.95,B.1.617.2,Delta,Delta,1
AY.38,21I (Delta),AY.38,B.1.617.2.38,Delta,Delta,4
B.1.621,21H (Mu),B.1.621,B.1.621,NULL,NULL,97
B.1,20A,B.1.218,B.1,NULL,NULL,83
AY.3,21J (Delta),AY.3,B.1.617.2.3,Delta,Delta,32
AY.4.11,21J (Delta),AY.4.11,B.1.617.2.4.11,Delta,Delta,16
B.1.1.47,20B,B.1.1.47,B.1.1.47,NULL,NULL,7
B.1.617.2,21I (Delta),AY.61,B.1.617.2,Delta,Delta,6
B.1.1,20B,B.1.1.325,B.1.1,NULL,NULL,28
B.1.222,20A,B.1.480,B.1.222,NULL,NULL,2
B.1.177,20E (EU1),B.1.177.58,B.1.177,NULL,NULL,2
B,19A,B.1.1,B,NULL,NULL,2
B.1,20A,AY.129,B.1,NULL,NULL,1
P.1.7,20J (Gamma; V3),P.1.7,B.1.1.28.1.7,Gamma,Gamma,1
B.1.1.397,20B,B.1.1,B.1.1.397,NULL,NULL,4
B.1.177,20E (EU1),B.1.177.86,B.1.177,NULL,NULL,10
AY.39,21J (Delta),B.1.617.2,B.1.617.2.39,Delta,Delta,5
B.1.1.25,20B,B.1.1.25,B.1.1.25,NULL,NULL,5
AY.4,21J (Delta),AY.4.15,B.1.617.2.4,Delta,Delta,2
B.1.177.52,20E (EU1),B.1.177.52,B.1.177.52,NULL,NULL,6
B.1.617.2,21A (Delta),AY.58,B.1.617.2,Delta,Delta,1
B.1.221,20A,B.1.221.1,B.1.221,NULL,NULL,1
B.1.2,20G,B.1.2,B.1.2,NULL,NULL,119
B.1,20C,B.1.582,B.1,NULL,NULL,25
P.1.16,20J (Gamma; V3),P.1.16,B.1.1.28.1.16,Gamma,Gamma,1
BA.1.1,21K (Omicron),BA.1.17.2,B.1.1.529.1.1,BA.1,Omicron,1
BA.2.52,21L (Omicron),BA.2.52,B.1.1.529.2.52,BA.2,Omicron,2
AY.9.2,21I (Delta),AY.9.2,B.1.617.2.9.2,Delta,Delta,4333
AY.4.15,21J (Delta),AY.4.14,B.1.617.2.4.15,Delta,Delta,896
B,19A,B.1,B,NULL,NULL,9
B.1.177.86,20E (EU1),B.1,B.1.177.86,NULL,NULL,8
AY.5,21J (Delta),AY.5,B.1.617.2.5,Delta,Delta,1090
B.1.617.2,21I (Delta),AY.38,B.1.617.2,Delta,Delta,8
AY.60,21I (Delta),AY.60,B.1.617.2.60,Delta,Delta,334
B.1.1.413,20B,B.1.1.413,B.1.1.413,NULL,NULL,3
BA.1,21K (Omicron),BA.1.19,B.1.1.529.1,BA.1,Omicron,1
B.1.617.2,21J (Delta),AY.121,B.1.617.2,Delta,Delta,3
BA.1.1.2,21K (Omicron),BA.1.1.2,B.1.1.529.1.1.2,BA.1,Omicron,1
BA.1.14.1,21K (Omicron),BA.1.14.1,B.1.1.529.1.14.1,BA.1,Omicron,3
AY.43.7,21J (Delta),AY.43.7,B.1.617.2.43.7,Delta,Delta,1
BA.1.17,21K (Omicron),BA.1,B.1.1.529.1.17,BA.1,Omicron,4
B.1.1.462,20B,B.1.1,B.1.1.462,NULL,NULL,2
B.1.258.17,20A,B.1.258.17,B.1.258.17,NULL,NULL,53
B.1.617.2,21J (Delta),AY.91,B.1.617.2,Delta,Delta,1
BA.2,21L (Omicron),BA.2.37,B.1.1.529.2,BA.2,Omicron,8
BA.2,21L (Omicron),BA.2.36,B.1.1.529.2,BA.2,Omicron,63
BA.2.36,21L (Omicron),BA.2.36,B.1.1.529.2.36,BA.2,Omicron,7
B.1.177,20E (EU1),B.1.177.2,B.1.177,NULL,NULL,1
B.1,20A,B.1.498,B.1,NULL,NULL,1
B.1.1.181,20B,B.1.1.272,B.1.1.181,NULL,NULL,1
BA.2,21L (Omicron),BA.2.14,B.1.1.529.2,BA.2,Omicron,21
B.1.1.294,20B,B.1.1.294,B.1.1.294,NULL,NULL,208
B.1.36.31,20A,B.1.36.31,B.1.36.31,NULL,NULL,45
B.1.1.305,20B,B.1.1.305,B.1.1.305,NULL,NULL,6
B.1.617.2,21J (Delta),AY.118,B.1.617.2,Delta,Delta,12
BA.2.2,21L (Omicron),BA.2,B.1.1.529.2.2,BA.2,Omicron,3
B.1.617.2,21J (Delta),AY.1,B.1.617.2,Delta,Delta,2
B.1.36,20A,B.1.36.20,B.1.36,NULL,NULL,3
XV,recombinant,XV,XV,NULL,NULL,19
AY.47,21I (Delta),AY.47,B.1.617.2.47,Delta,Delta,7
B.1.1,20B,B.1.1.204,B.1.1,NULL,NULL,9
XE,recombinant,BA.2,XE,NULL,NULL,8
AY.5,21J (Delta),B.1.617.2,B.1.617.2.5,Delta,Delta,1
C.37,21G (Lambda),C.37,B.1.1.1.37,NULL,NULL,2
AY.46.6,21J (Delta),AY.46.6,B.1.617.2.46.6,Delta,Delta,2113
B.1.617.1,21B (Kappa),B.1.617.1,B.1.617.1,NULL,NULL,28
AY.36,21J (Delta),AY.36,B.1.617.2.36,Delta,Delta,2434
BA.2.3,21L (Omicron),BA.2.3,B.1.1.529.2.3,BA.2,Omicron,104
B.1,20A,B.1.466,B.1,NULL,NULL,2
B.1.617.2,21A (Delta),AY.7.1,B.1.617.2,Delta,Delta,1
B.1.222,20A,B.1,B.1.222,NULL,NULL,5
AY.126,21J (Delta),AY.122,B.1.617.2.126,Delta,Delta,1
B.1.617.2,21J (Delta),AY.95,B.1.617.2,Delta,Delta,1
B.1.177,20E (EU1),B.1.177.64,B.1.177,NULL,NULL,1
B.1,20C,B.1.595,B.1,NULL,NULL,2
B.1.617,20A,B.1,B.1.617,NULL,NULL,1
B.1.427,21C (Epsilon),B.1.427,B.1.427,NULL,NULL,13
AY.36.1,21J (Delta),AY.36.1,B.1.617.2.36.1,Delta,Delta,365
AY.98,21J (Delta),AY.43,B.1.617.2.98,Delta,Delta,1
B.1.177,20E (EU1),B.1.177,B.1.177,NULL,NULL,1618
B.1.617.2,21A (Delta),AY.120.2.1,B.1.617.2,Delta,Delta,1
BA.1.9,21K (Omicron),BA.1.17.2,B.1.1.529.1.9,BA.1,Omicron,5
B.1.1.1,20D,C.16,B.1.1.1,NULL,NULL,1
B.1.1.529,21M (Omicron),BA.1.15,B.1.1.529,Omicron,Omicron,2
XAB,recombinant,BA.2,XAB,NULL,NULL,25
B.1.177,20E (EU1),B.1.177.42,B.1.177,NULL,NULL,47
BA.1.9,21K (Omicron),BA.1.21,B.1.1.529.1.9,BA.1,Omicron,8
B.1.222,20A,B.1.258.11,B.1.222,NULL,NULL,5
B.1.160,20A,B.1.160.7,B.1.160,NULL,NULL,1
B.1.617.2,21A (Delta),AY.4.3,B.1.617.2,Delta,Delta,1
B.1.36,20A,B.1.36.8,B.1.36,NULL,NULL,1
B.1.621.1,21H (Mu),B.1.621.1,B.1.621.1,NULL,NULL,4
AY.78,21J (Delta),AY.78,B.1.617.2.78,Delta,Delta,23
AY.1,21J (Delta),AY.1,B.1.617.2.1,Delta,Delta,11
AY.9,21I (Delta),AY.9.2.2,B.1.617.2.9,Delta,Delta,1
B.1.1.326,20B,B.1.1.326,B.1.1.326,NULL,NULL,1
AY.4.15,21J (Delta),AY.4,B.1.617.2.4.15,Delta,Delta,142
BA.1.18,21K (Omicron),BA.1.18,B.1.1.529.1.18,BA.1,Omicron,649
B.1.36.35,20A,B.1.36.35,B.1.36.35,NULL,NULL,11
B.1,20A,B.1.408,B.1,NULL,NULL,8
AY.102,21J (Delta),AY.102,B.1.617.2.102,Delta,Delta,2
B.1.146,20A,B.1.146,B.1.146,NULL,NULL,12
BA.2.14,21L (Omicron),BA.2.14,B.1.1.529.2.14,BA.2,Omicron,275
B.1.617.2,21A (Delta),AY.4.7,B.1.617.2,Delta,Delta,3
BA.1.1,21K (Omicron),BA.1.1.15,B.1.1.529.1.1,BA.1,Omicron,15
XZ,recombinant,BA.2,XZ,NULL,NULL,118
B.1.177.44,20E (EU1),B.1.177.44,B.1.177.44,NULL,NULL,8
BA.2.80,21L (Omicron),BA.2,B.1.1.529.2.80,BA.2,Omicron,4
BC.2,21K (Omicron),BA.1.1.1,B.1.1.529.1.1.1.2,BA.1,Omicron,1
B.1.527,20A,B.1,B.1.527,NULL,NULL,1
B.1.617.2,21J (Delta),AY.5.4,B.1.617.2,Delta,Delta,1
XG,recombinant,BA.2,XG,NULL,NULL,4
B.1,20A,B.1.617.2,B.1,NULL,NULL,55
B.1.160.16,20A,AB.1,B.1.160.16,NULL,NULL,149
AY.75,21I (Delta),AY.75,B.1.617.2.75,Delta,Delta,187
AY.45,21J (Delta),AY.45,B.1.617.2.45,Delta,Delta,37
BA.1.22,21K (Omicron),BA.1,B.1.1.529.1.22,BA.1,Omicron,6
B.1.617.2,21A (Delta),AY.16,B.1.617.2,Delta,Delta,2
B.1.1.37,20B,B.1.1.37,B.1.1.37,NULL,NULL,3
B.1.1.70,20B,B.1.177,B.1.1.70,Alpha,Alpha,2
AY.16.1,21A (Delta),AY.16.1,B.1.617.2.16.1,Delta,Delta,1
B.1.177,20E (EU1),B.1.177.56,B.1.177,NULL,NULL,2
B.1,20C,B.1.372,B.1,NULL,NULL,9
B.1.1,20B,B.1.1.288,B.1.1,NULL,NULL,259
AY.43.8,21J (Delta),AY.43,B.1.617.2.43.8,Delta,Delta,15
BA.1.21,21K (Omicron),BA.1,B.1.1.529.1.21,BA.1,Omicron,6
B.1.617.2,21A (Delta),AY.9,B.1.617.2,Delta,Delta,4
B.1.160.16,20A,B.1.160.16,B.1.160.16,NULL,NULL,1
B.1.1.39,20B,AQ.2,B.1.1.39,NULL,NULL,8
B.1.617.2,21A (Delta),B.1.617.2,B.1.617.2,Delta,Delta,1261
AY.99.2,21J (Delta),AY.99.2,B.1.617.2.99.2,Delta,Delta,7
AY.43.3,21J (Delta),AY.43,B.1.617.2.43.3,Delta,Delta,1
BA.2.23,21L (Omicron),BA.2.36,B.1.1.529.2.23,BA.2,Omicron,1
BA.2,21L (Omicron),BA.2.51,B.1.1.529.2,BA.2,Omicron,4
AY.109,21J (Delta),AY.109,B.1.617.2.109,Delta,Delta,6
B.1.617.2,21J (Delta),AY.94,B.1.617.2,Delta,Delta,3
B.1.1.348,20B,B.1.1,B.1.1.348,NULL,NULL,55
B.1.1.351,20B,B.1.1.351,B.1.1.351,NULL,NULL,26
AY.4.7,21J (Delta),AY.4.7,B.1.617.2.4.7,Delta,Delta,409
B.1.617.2,21A (Delta),AY.94,B.1.617.2,Delta,Delta,1
AY.4,21J (Delta),B.1.617.2,B.1.617.2.4,Delta,Delta,1
B.1.1.189,20B,B.1.1.189,B.1.1.189,NULL,NULL,60
AY.85,21J (Delta),AY.85,B.1.617.2.85,Delta,Delta,11
B.1.617.2,21J (Delta),AY.7,B.1.617.2,Delta,Delta,3
B.1.1,20B,B.1,B.1.1,NULL,NULL,2
B.1.1.529,21M (Omicron),BA.1.17,B.1.1.529,Omicron,Omicron,5
B.1.1.192,20B,B.1.1,B.1.1.192,NULL,NULL,1
AY.82,21J (Delta),AY.82,B.1.617.2.82,Delta,Delta,1
B.1,20A,B.1.525,B.1,NULL,NULL,2
BA.1,21K (Omicron),B.1.1,B.1.1.529.1,BA.1,Omicron,19
AY.4,21J (Delta),AY.4.6,B.1.617.2.4,Delta,Delta,31
B.1.111,20A,B.1.111,B.1.111,NULL,NULL,3
B.1.617.2,21J (Delta),AY.111,B.1.617.2,Delta,Delta,7
B.1.1.232,20B,B.1.1.232,B.1.1.232,NULL,NULL,2
B.1.617.2,21J (Delta),AY.43,B.1.617.2,Delta,Delta,269
B.1,20A,AY.36,B.1,NULL,NULL,2
