LineagesOfInterest,DateSampling,BatchSource,weights
Alpha,2021-04-13,Pandora,9
Alpha,2021-05-26,Gilead,7
NULL,2021-12-11,Pandora,9
BA.2,2022-01-14,Narnia,13
Alpha,2021-04-02,Panem,469
NULL,2020-10-08,Panem,57
Delta,2022-01-07,Asgard,5
Eta,2021-04-04,Panem,5
NULL,2020-12-02,Middle-Earth,18
NULL,2021-12-10,Narnia,11
Alpha,2021-08-03,Hogwarts,6
Delta,2021-06-01,Hogwarts,9
NULL,2021-05-06,Gilead,3
NULL,2021-01-22,Pandora,4
Delta,2021-11-13,Agrabah,5
BA.1,2022-02-14,Narnia,3
Alpha,2021-05-08,Pandora,6
Alpha,2021-04-25,Agrabah,5
NULL,2021-11-24,Middle-Earth,3
BA.2,2022-01-14,Asgard,6
Delta,2021-04-29,Panem,5
Alpha,2021-06-14,Hogwarts,278
Alpha,2021-04-23,Agrabah,16
NULL,2021-03-10,Pandora,8
NULL,2021-05-18,Hogwarts,11
Omicron,2022-02-25,Hogwarts,3
Delta,2021-10-25,Gilead,6
Alpha,2020-11-12,Panem,5
Alpha,2021-06-28,Hogwarts,198
Delta,2021-09-16,Wakanda,3
NULL,2021-02-07,Gilead,8
BA.1,2021-12-10,Middle-Earth,11
NULL,2020-11-10,Hogwarts,123
Alpha,2021-03-24,Hogwarts,24
Alpha,2021-04-22,Hogwarts,73
Eta,2021-03-26,Panem,17
Delta,2021-07-14,Narnia,12
NULL,2021-10-08,Gilead,3
NULL,2020-11-03,Panem,396
BA.1,2022-01-12,Pandora,53
BA.1,2022-01-13,Hogwarts,1044
BA.2,2022-02-18,Hogwarts,2755
NULL,2022-02-21,Narnia,4
NULL,2020-12-15,Hogwarts,614
BA.2,2021-12-25,Hogwarts,43
BA.2,2022-01-08,Hogwarts,266
BA.1,2021-12-16,Middle-Earth,86
BA.2,2022-02-11,Gilead,37
Alpha,2021-04-29,Gilead,4
NULL,2021-02-22,Pandora,8
Omicron,2022-02-10,Hogwarts,7
Delta,2021-12-23,Narnia,4
Alpha,2020-12-13,Middle-Earth,4
BA.2,2022-02-20,Gilead,32
NULL,2022-01-30,Narnia,12
Delta,2021-10-18,Hogwarts,874
Alpha,2021-01-17,Hogwarts,4
BA.2,2022-02-13,Middle-Earth,57
Delta,2021-11-26,Pandora,14
Alpha,2021-06-02,Narnia,7
NULL,2022-02-18,Pandora,18
NULL,2021-02-01,Hogwarts,11
NULL,2022-01-22,Gilead,10
NULL,2021-09-24,Hogwarts,15
Delta,2021-12-02,Wakanda,10
NULL,2021-02-25,Panem,261
BA.1,2022-02-25,Hogwarts,51
Delta,2021-12-27,Middle-Earth,26
Alpha,2021-03-27,Hogwarts,25
BA.1,2022-01-28,Asgard,8
BA.1,2021-12-30,Pandora,87
NULL,2021-02-05,Gilead,5
Alpha,2021-03-01,Hogwarts,84
NULL,2021-01-27,Narnia,13
Eta,2021-03-19,Panem,12
NULL,2020-10-09,Middle-Earth,10
NULL,2021-03-08,Hogwarts,144
NULL,2020-12-19,Panem,971
Delta,2021-07-02,Narnia,3
NULL,2021-04-26,Narnia,3
NULL,2021-01-21,Agrabah,3
NULL,2022-02-08,Wakanda,4
Eta,2021-02-18,Panem,11
Delta,2021-11-12,Pandora,6
Delta,2022-01-31,Hogwarts,3
Alpha,2021-06-17,Asgard,4
Omicron,2022-02-11,Hogwarts,7
NULL,2021-03-26,Agrabah,3
BA.1,2022-02-09,Pandora,18
NULL,2022-02-16,Narnia,21
BA.2,2022-02-25,Asgard,32
Delta,2021-10-25,Narnia,9
NULL,2022-02-25,Middle-Earth,16
Delta,2022-01-02,Narnia,8
Alpha,2021-04-01,Panem,590
Delta,2021-09-07,Asgard,18
NULL,2021-03-14,Hogwarts,47
NULL,2021-11-01,Agrabah,3
Alpha,2021-01-02,Panem,26
Delta,2021-09-03,Wakanda,3
Alpha,2021-07-15,Hogwarts,75
BA.2,2022-02-15,Middle-Earth,140
Alpha,2020-11-21,Hogwarts,4
NULL,2022-01-22,Pandora,25
Alpha,2020-12-08,Panem,27
NULL,2021-12-22,Hogwarts,229
NULL,2021-01-29,Middle-Earth,28
NULL,2022-02-21,Gilead,11
NULL,2020-12-17,Pandora,14
BA.2,2021-12-15,Hogwarts,20
NULL,2021-01-07,Narnia,36
BA.1,2021-12-14,Middle-Earth,18
Alpha,2020-12-25,Panem,25
Eta,2021-02-21,Panem,5
NULL,2021-05-22,Panem,95
Alpha,2021-05-05,Panem,744
Alpha,2021-04-16,Panem,532
Alpha,2021-01-11,Panem,64
Alpha,2021-05-22,Asgard,5
NULL,2021-12-18,Pandora,11
Delta,2021-11-06,Neverland,4
Eta,2021-04-21,Panem,6
NULL,2021-02-27,Pandora,4
BA.2,2022-02-04,Neverland,7
Delta,2021-07-27,Narnia,9
NULL,2022-01-10,Gilead,4
Alpha,2020-11-16,Panem,10
Alpha,2021-04-07,Gilead,5
NULL,2021-02-08,Narnia,6
NULL,2021-05-28,Asgard,3
Alpha,2021-01-13,Gilead,3
Delta,2022-01-17,Pandora,3
Delta,2021-06-09,Asgard,3
NULL,2020-12-20,Middle-Earth,76
Delta,2021-11-21,Hogwarts,1698
Alpha,2021-05-20,Panem,668
NULL,2022-01-10,Agrabah,4
NULL,2020-12-23,Hogwarts,402
Alpha,2020-12-02,Hogwarts,8
NULL,2021-01-09,Middle-Earth,18
Alpha,2021-05-04,Hogwarts,31
BA.1,2022-01-03,Narnia,36
NULL,2022-01-27,Narnia,4
NULL,2022-01-08,Pandora,10
NULL,2021-02-08,Gilead,9
BA.1,2022-01-18,Hogwarts,859
NULL,2022-01-19,Narnia,11
BA.2,2022-02-21,Wakanda,19
Delta,2021-07-13,Asgard,8
NULL,2021-03-31,Panem,121
Delta,2021-07-20,Hogwarts,948
NULL,2021-01-02,Narnia,170
Delta,2021-09-26,Hogwarts,444
Delta,2021-11-01,Pandora,17
NULL,2021-11-15,Hogwarts,157
BA.2,2022-02-23,Pandora,76
NULL,2021-12-20,Gilead,24
Alpha,2021-03-21,Panem,439
Alpha,2021-01-13,Panem,45
Alpha,2021-06-24,Hogwarts,142
NULL,2021-12-24,Hogwarts,95
NULL,2020-12-14,Hogwarts,520
Alpha,2021-03-04,Hogwarts,38
NULL,2020-12-22,Pandora,8
Eta,2021-03-08,Panem,6
Delta,2021-11-11,Agrabah,4
NULL,2021-05-07,Pandora,4
Alpha,2021-05-12,Wakanda,7
NULL,2021-02-12,Gilead,4
BA.2,2022-01-23,Wakanda,5
NULL,2021-02-28,Pandora,5
NULL,2021-03-21,Pandora,4
NULL,2021-10-25,Wakanda,8
Alpha,2021-05-03,Pandora,3
Delta,2021-08-16,Hogwarts,1093
Alpha,2021-02-08,Panem,123
NULL,2021-12-17,Gilead,7
Alpha,2021-03-13,Hogwarts,134
NULL,2021-05-19,Panem,193
BA.1,2021-11-30,Hogwarts,20
NULL,2022-01-02,Wakanda,3
BA.1,2022-01-02,Middle-Earth,41
NULL,2021-11-05,Asgard,9
NULL,2022-02-28,Gilead,19
NULL,2021-06-07,Hogwarts,87
BA.2,2022-02-27,Narnia,22
Alpha,2021-07-20,Gilead,3
Alpha,2021-01-18,Panem,67
Eta,2021-02-25,Panem,8
Delta,2021-11-22,Narnia,32
NULL,2021-10-15,Hogwarts,32
NULL,2021-10-27,Agrabah,4
BA.2,2022-02-19,Narnia,45
BA.1,2022-02-11,Narnia,4
NULL,2022-03-01,Gilead,38
Delta,2021-09-01,Asgard,14
Delta,2021-08-23,Gilead,8
Delta,2021-11-10,Neverland,10
NULL,2021-11-10,Asgard,16
Delta,2021-09-09,Wakanda,5
Delta,2021-09-01,Narnia,9
Alpha,2021-03-10,Agrabah,11
Delta,2021-11-07,Neverland,8
Delta,2021-07-12,Pandora,4
Delta,2021-07-29,Narnia,5
Delta,2021-11-25,Gilead,21
NULL,2020-11-19,Middle-Earth,8
Eta,2021-02-15,Panem,4
Omicron,2022-02-14,Hogwarts,8
BA.1,2022-02-13,Pandora,7
BA.2,2022-01-05,Narnia,5
BA.2,2021-12-31,Gilead,7
Delta,2021-08-28,Narnia,5
NULL,2021-03-25,Narnia,3
Alpha,2021-05-26,Narnia,6
Delta,2022-01-01,Asgard,3
Alpha,2021-02-23,Narnia,3
Alpha,2021-03-20,Pandora,4
NULL,2020-10-18,Hogwarts,4
Delta,2021-07-18,Hogwarts,733
Delta,2021-09-06,Hogwarts,564
Alpha,2021-01-04,Hogwarts,5
NULL,2021-11-23,Pandora,4
NULL,2021-11-14,Gilead,8
Alpha,2021-03-27,Narnia,7
BA.2,2022-02-20,Asgard,31
Delta,2021-11-13,Asgard,32
NULL,2021-01-25,Agrabah,6
Alpha,2020-11-13,Panem,5
BA.1,2022-01-29,Pandora,23
NULL,2021-03-03,Narnia,4
NULL,2021-05-17,Panem,125
NULL,2021-05-27,Agrabah,5
Alpha,2021-08-01,Hogwarts,15
NULL,2021-07-26,Hogwarts,52
NULL,2021-10-27,Asgard,3
NULL,2021-03-17,Pandora,6
NULL,2020-09-27,Panem,98
NULL,2021-01-04,Gilead,9
Delta,2021-07-22,Hogwarts,688
NULL,2021-07-11,Hogwarts,166
NULL,2022-01-15,Gilead,17
Delta,2021-12-16,Gilead,19
Delta,2022-01-10,Narnia,4
NULL,2020-12-21,Pandora,3
NULL,2022-01-28,Middle-Earth,4
NULL,2020-11-29,Hogwarts,61
Alpha,2021-04-06,Agrabah,9
NULL,2021-01-24,Panem,472
Delta,2021-11-12,Agrabah,7
BA.2,2021-12-25,Middle-Earth,11
NULL,2022-01-16,Gilead,6
NULL,2022-02-27,Gilead,11
Omicron,2022-01-14,Hogwarts,12
Alpha,2021-04-09,Panem,549
BA.1,2022-01-15,Middle-Earth,7
NULL,2021-03-04,Narnia,7
Delta,2021-08-15,Hogwarts,994
Delta,2021-09-20,Hogwarts,381
Delta,2021-11-22,Gilead,21
BA.2,2021-12-22,Gilead,5
NULL,2021-11-10,Gilead,5
BA.2,2022-02-02,Pandora,119
BA.2,2022-01-13,Hogwarts,1174
NULL,2022-02-04,Gilead,19
NULL,2020-12-01,Hogwarts,293
BA.1,2021-12-14,Pandora,51
BA.1,2022-01-14,Hogwarts,955
NULL,2020-11-22,Middle-Earth,14
NULL,2021-01-20,Pandora,5
Alpha,2021-01-03,Panem,13
BA.1,2022-02-19,Narnia,5
BA.1,2021-12-30,Asgard,23
Delta,2021-12-01,Middle-Earth,57
BA.2,2022-02-24,Middle-Earth,66
Delta,2021-11-03,Neverland,5
Alpha,2020-12-16,Panem,14
NULL,2021-03-24,Panem,160
BA.2,2022-02-11,Asgard,50
Delta,2021-08-23,Wakanda,3
Delta,2021-10-24,Asgard,21
NULL,2021-02-02,Pandora,9
NULL,2022-02-28,Asgard,11
Delta,2021-11-25,Narnia,25
Alpha,2021-04-29,Narnia,12
BA.1,2021-11-29,Hogwarts,6
NULL,2021-07-28,Wakanda,3
Alpha,2021-04-01,Agrabah,9
Delta,2021-09-01,Gilead,7
Alpha,2021-04-17,Wakanda,3
NULL,2021-06-03,Gilead,4
NULL,2022-01-15,Wakanda,4
BA.1,2021-11-25,Hogwarts,4
NULL,2020-12-26,Gilead,4
NULL,2021-11-09,Narnia,3
BA.1,2022-02-08,Middle-Earth,13
Alpha,2021-03-24,Pandora,9
NULL,2021-11-09,Gilead,4
NULL,2022-01-30,Pandora,29
BA.1,2021-12-25,Middle-Earth,55
Delta,2021-08-22,Gilead,5
NULL,2022-01-12,Narnia,9
Delta,2021-07-28,Asgard,28
Eta,2021-04-05,Panem,3
Alpha,2021-04-24,Panem,123
NULL,2020-10-25,Hogwarts,24
NULL,2022-01-16,Narnia,9
Delta,2021-08-18,Gilead,6
NULL,2021-05-27,Wakanda,3
NULL,2021-12-17,Hogwarts,259
Delta,2021-08-04,Wakanda,4
NULL,2021-01-21,Hogwarts,41
NULL,2021-05-04,Panem,379
Alpha,2021-05-03,Narnia,9
NULL,2021-12-11,Asgard,4
Eta,2021-03-30,Panem,14
Alpha,2021-01-27,Middle-Earth,6
Alpha,2021-03-23,Pandora,8
Eta,2021-03-15,Hogwarts,26
BA.2,2022-01-13,Pandora,86
Delta,2021-11-30,Wakanda,12
NULL,2022-02-27,Asgard,13
Delta,2021-09-12,Narnia,4
Alpha,2021-03-02,Narnia,3
NULL,2020-09-19,Panem,65
Alpha,2021-04-07,Hogwarts,187
Alpha,2021-03-27,Panem,707
NULL,2022-02-21,Hogwarts,164
NULL,2020-11-18,Panem,208
Eta,2021-03-15,Panem,19
NULL,2020-11-24,Middle-Earth,38
Alpha,2020-11-23,Hogwarts,9
Delta,2021-07-17,Wakanda,3
Alpha,2021-05-02,Pandora,8
BA.1,2022-01-16,Middle-Earth,45
BA.2,2022-02-06,Pandora,111
NULL,2021-02-04,Narnia,16
Delta,2021-12-09,Asgard,37
NULL,2021-02-24,Gilead,7
Alpha,2021-02-01,Panem,93
Delta,2021-12-09,Pandora,33
Alpha,2021-06-11,Asgard,4
Delta,2021-07-15,Hogwarts,990
Delta,2021-10-13,Agrabah,3
Delta,2021-11-13,Neverland,4
Delta,2021-08-31,Wakanda,3
BA.1,2022-01-21,Pandora,57
Delta,2021-11-09,Narnia,26
NULL,2020-09-12,Hogwarts,5
NULL,2020-12-18,Hogwarts,337
NULL,2021-10-19,Hogwarts,70
NULL,2022-01-16,Wakanda,3
Delta,2021-06-22,Pandora,4
NULL,2021-08-19,Gilead,4
Delta,2021-09-01,Hogwarts,771
NULL,2021-03-15,Pandora,13
Alpha,2021-06-07,Asgard,3
NULL,2021-07-10,Pandora,3
Alpha,2020-11-30,Panem,9
NULL,2021-12-12,Narnia,4
NULL,2021-01-24,Hogwarts,6
NULL,2022-02-15,Gilead,3
NULL,2021-11-27,Middle-Earth,4
NULL,2021-11-03,Asgard,8
NULL,2021-04-15,Agrabah,3
NULL,2021-05-17,Narnia,3
Gamma,2021-03-20,Panem,3
BA.2,2021-12-23,Middle-Earth,5
NULL,2021-01-19,Hogwarts,87
Alpha,2021-03-18,Panem,442
Delta,2022-01-20,Hogwarts,5
NULL,2020-09-28,Panem,235
Alpha,2021-02-06,Middle-Earth,8
Delta,2021-11-07,Pandora,16
Delta,2021-11-14,Hogwarts,1462
Alpha,2021-02-12,Panem,113
NULL,2021-02-01,Middle-Earth,40
Alpha,2021-01-22,Panem,61
Delta,2022-01-15,Hogwarts,8
Delta,2021-10-25,Agrabah,4
Delta,2021-11-25,Wakanda,30
Delta,2021-08-27,Hogwarts,792
NULL,2021-11-26,Pandora,5
Delta,2021-12-23,Gilead,8
NULL,2021-11-20,Hogwarts,96
Alpha,2021-03-25,Hogwarts,13
Delta,2021-10-08,Hogwarts,842
Delta,2021-08-28,Gilead,4
BA.2,2022-01-26,Middle-Earth,49
NULL,2020-11-30,Middle-Earth,44
NULL,2021-04-23,Narnia,4
Delta,2021-07-13,Gilead,7
NULL,2021-10-18,Hogwarts,49
Alpha,2021-05-14,Narnia,8
Delta,2021-08-29,Asgard,12
Alpha,2021-04-15,Wakanda,9
Gamma,2021-06-16,Hogwarts,3
NULL,2021-02-07,Narnia,6
NULL,2021-10-07,Asgard,3
Eta,2021-02-06,Panem,5
BA.1,2022-02-20,Pandora,3
Alpha,2021-01-10,Hogwarts,6
NULL,2022-02-12,Gilead,14
Delta,2021-10-13,Asgard,7
BA.1,2022-01-19,Wakanda,3
Delta,2021-08-21,Pandora,4
Alpha,2021-04-25,Narnia,4
Alpha,2021-05-15,Pandora,5
Alpha,2021-06-12,Asgard,8
Delta,2021-08-18,Narnia,5
NULL,2021-03-06,Hogwarts,93
Alpha,2021-07-05,Hogwarts,95
BA.2,2022-01-23,Narnia,36
NULL,2021-10-17,Hogwarts,47
NULL,2021-02-17,Agrabah,3
Delta,2021-09-16,Asgard,7
BA.2,2022-02-09,Asgard,24
BA.2,2022-02-21,Narnia,41
Delta,2021-07-27,Hogwarts,970
Alpha,2021-07-02,Hogwarts,163
NULL,2020-10-20,Panem,46
NULL,2020-12-08,Middle-Earth,18
Delta,2021-12-05,Wakanda,12
NULL,2021-04-12,Hogwarts,86
BA.2,2022-02-04,Pandora,133
Alpha,2021-05-06,Hogwarts,235
BA.1,2022-02-16,Middle-Earth,6
Delta,2021-10-25,Hogwarts,1374
Delta,2021-06-07,Hogwarts,12
NULL,2020-12-24,Panem,526
NULL,2021-01-31,Panem,351
BA.2,2022-02-12,Middle-Earth,75
BA.2,2022-01-28,Asgard,25
NULL,2021-01-08,Hogwarts,261
BA.2,2021-12-30,Pandora,29
Eta,2021-02-17,Panem,13
NULL,2022-01-30,Gilead,60
BA.2,2022-01-04,Asgard,4
Delta,2021-12-08,Hogwarts,1784
Alpha,2021-06-23,Hogwarts,175
Alpha,2021-01-12,Panem,57
NULL,2021-12-01,Middle-Earth,19
NULL,2020-12-05,Panem,517
Alpha,2021-01-21,Hogwarts,8
Delta,2021-08-30,Wakanda,6
Delta,2021-10-15,Pandora,3
NULL,2021-12-30,Middle-Earth,3
NULL,2021-01-27,Gilead,9
Delta,2021-12-20,Gilead,5
Delta,2021-09-28,Asgard,12
NULL,2022-01-22,Narnia,4
Alpha,2021-05-12,Narnia,21
Beta,2021-04-11,Hogwarts,3
NULL,2021-02-16,Agrabah,5
Delta,2021-07-13,Pandora,4
Alpha,2021-05-28,Hogwarts,358
Delta,2021-10-06,Hogwarts,681
Delta,2021-08-31,Narnia,5
NULL,2021-12-27,Narnia,16
Alpha,2021-05-26,Asgard,5
NULL,2021-10-19,Narnia,3
BA.1,2022-01-17,Hogwarts,879
Alpha,2021-02-28,Panem,292
NULL,2021-11-01,Gilead,4
NULL,2022-01-07,Asgard,10
NULL,2021-03-06,Panem,186
Delta,2021-12-02,Narnia,45
Alpha,2021-04-07,Narnia,8
NULL,2021-12-31,Hogwarts,94
BA.2,2022-02-14,Gilead,33
NULL,2021-12-29,Narnia,7
NULL,2020-10-04,Panem,15
NULL,2020-12-28,Panem,412
Delta,2021-11-14,Pandora,14
Delta,2021-12-08,Gilead,4
Alpha,2021-07-05,Asgard,3
Alpha,2020-12-15,Middle-Earth,4
NULL,2022-01-24,Wakanda,4
Delta,2021-09-06,Agrabah,3
NULL,2022-02-18,Gilead,8
Delta,2021-07-13,Narnia,6
BA.1,2021-12-18,Wakanda,3
Delta,2021-09-01,Pandora,5
Delta,2021-10-03,Asgard,3
Alpha,2021-02-26,Gilead,4
BA.2,2022-02-17,Narnia,52
NULL,2021-03-08,Gilead,7
Alpha,2021-04-10,Narnia,9
BA.1,2021-12-18,Gilead,19
NULL,2021-12-31,Asgard,6
BA.2,2022-02-28,Middle-Earth,94
Delta,2021-06-06,Hogwarts,4
NULL,2021-11-05,Hogwarts,118
Delta,2021-07-02,Hogwarts,331
Alpha,2021-03-18,Gilead,5
BA.2,2022-02-25,Narnia,34
BA.1,2022-01-20,Asgard,9
NULL,2021-12-09,Hogwarts,397
NULL,2022-01-21,Wakanda,5
Eta,2021-03-09,Panem,8
Alpha,2021-01-02,Hogwarts,4
Omicron,2022-01-28,Hogwarts,3
Delta,2021-09-26,Neverland,12
Alpha,2021-01-05,Narnia,4
Delta,2021-11-15,Pandora,14
Alpha,2021-04-02,Hogwarts,6
BA.2,2022-01-27,Pandora,124
Alpha,2021-01-24,Middle-Earth,7
NULL,2021-12-14,Middle-Earth,13
BA.2,2021-12-16,Pandora,3
NULL,2022-01-24,Gilead,6
NULL,2021-02-20,Pandora,4
NULL,2022-01-07,Gilead,7
NULL,2021-05-10,Agrabah,4
Delta,2021-11-10,Pandora,10
BA.2,2021-12-21,Gilead,6
NULL,2022-01-17,Gilead,9
NULL,2021-03-01,Gilead,4
NULL,2021-04-16,Pandora,4
Delta,2021-09-20,Pandora,5
Delta,2021-07-23,Narnia,5
Alpha,2021-03-13,Agrabah,6
BA.1,2022-01-02,Pandora,65
BA.1,2021-12-16,Pandora,48
Alpha,2021-06-01,Wakanda,7
NULL,2020-11-25,Hogwarts,190
BA.1,2021-12-09,Hogwarts,175
NULL,2020-09-03,Panem,148
Delta,2021-08-18,Asgard,7
Delta,2021-06-21,Hogwarts,29
Alpha,2021-05-21,Hogwarts,295
Alpha,2021-05-19,Hogwarts,67
Delta,2021-11-08,Wakanda,16
Delta,2021-09-04,Hogwarts,442
BA.1,2021-12-15,Wakanda,5
Delta,2021-09-25,Neverland,19
NULL,2021-10-24,Hogwarts,48
Delta,2021-11-21,Asgard,35
Delta,2021-07-30,Asgard,14
BA.2,2021-12-19,Hogwarts,56
NULL,2021-01-05,Panem,1107
BA.1,2021-12-10,Pandora,10
NULL,2021-01-26,Panem,571
NULL,2022-02-05,Middle-Earth,18
Delta,2021-06-27,Hogwarts,94
Delta,2021-09-24,Neverland,4
Alpha,2021-05-31,Wakanda,3
Alpha,2021-05-03,Gilead,10
Delta,2021-07-10,Hogwarts,386
Alpha,2021-04-07,Panem,533
NULL,2022-02-19,Hogwarts,68
NULL,2020-10-11,Panem,33
NULL,2021-05-15,Hogwarts,45
BA.2,2022-02-11,Pandora,121
NULL,2021-02-12,Narnia,3
NULL,2021-03-29,Narnia,4
NULL,2021-11-01,Asgard,5
NULL,2021-01-10,Gilead,7
Delta,2021-07-17,Gilead,3
NULL,2021-06-02,Narnia,4
BA.2,2022-01-17,Wakanda,6
NULL,2021-01-16,Agrabah,6
Delta,2021-09-10,Gilead,3
Alpha,2021-05-22,Agrabah,3
Delta,2021-10-23,Hogwarts,1235
BA.1,2021-12-24,Narnia,7
NULL,2021-11-03,Hogwarts,135
NULL,2022-02-15,Asgard,12
NULL,2021-03-25,Panem,186
Alpha,2021-01-14,Panem,50
NULL,2021-04-07,Panem,158
Delta,2021-08-29,Hogwarts,835
Delta,2021-08-02,Narnia,10
Delta,2021-08-13,Hogwarts,951
NULL,2021-04-16,Panem,214
Alpha,2021-03-19,Pandora,6
Alpha,2021-05-17,Narnia,16
NULL,2021-05-15,Pandora,3
NULL,2022-02-13,Middle-Earth,78
NULL,2020-11-01,Panem,293
NULL,2022-01-23,Asgard,18
Alpha,2021-03-25,Narnia,4
BA.1,2022-02-18,Gilead,3
Omicron,2022-01-07,Hogwarts,34
NULL,2020-12-09,Middle-Earth,22
NULL,2021-03-22,Panem,300
Alpha,2021-05-21,Wakanda,7
BA.1,2022-01-06,Hogwarts,578
NULL,2020-11-08,Panem,472
Alpha,2021-04-13,Narnia,4
Alpha,2021-05-20,Agrabah,4
NULL,2020-12-28,Hogwarts,393
NULL,2021-11-13,Hogwarts,149
NULL,2021-08-08,Hogwarts,44
Delta,2021-10-02,Neverland,6
Alpha,2021-05-18,Wakanda,8
BA.2,2022-01-03,Wakanda,4
NULL,2021-05-30,Wakanda,4
BA.2,2022-02-25,Wakanda,13
NULL,2021-04-15,Panem,327
NULL,2021-03-08,Panem,158
