BatchSource,DateSampling,WhoVariant,LineagesOfInterest,lineage,UnaliasedPango,Nextclade_pango,clade,weight
Panem,2020-09-01,NULL,NULL,B.1.1.521,B.1.1.521,B.1.1.521,20B,2
Panem,2020-09-01,NULL,NULL,B.1.1.191,B.1.1,B.1.1,20B,2
Panem,2020-09-01,NULL,NULL,NULL,NULL,NULL,NULL,51
Panem,2020-09-01,NULL,NULL,B.1.372,B.1,B.1,20C,2
Panem,2020-09-02,NULL,NULL,AQ.2,B.1.1.39,B.1.1.39,20B,2
Panem,2020-09-02,NULL,NULL,B.1.177,B.1.177,B.1.177,20E (EU1),1
Panem,2020-09-02,NULL,NULL,B.1.1.241,B.1.1.241,B.1.1.241,20B,1
Panem,2020-09-02,NULL,NULL,B.1.416,B.1.416,B.1.416,20A,1
Panem,2020-09-02,NULL,NULL,NULL,NULL,NULL,NULL,20
Panem,2020-09-02,NULL,NULL,B.1.1.261,B.1.1,B.1.1,20B,1
Panem,2020-09-02,NULL,NULL,B.1,B.1,B.1,20A,2
Panem,2020-09-02,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,10
Panem,2020-09-02,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,8
Panem,2020-09-02,NULL,NULL,B.1.389,B.1.389,B.1.389,20A,2
Panem,2020-09-02,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,10
Panem,2020-09-02,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,5
Panem,2020-09-02,NULL,NULL,B.1.36.1,B.1.36.1,B.1.36.1,20A,3
Panem,2020-09-02,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,19
Panem,2020-09-02,NULL,NULL,B.1.177.14,B.1.177,B.1.177,20E (EU1),1
Panem,2020-09-02,NULL,NULL,B.1.1.325,B.1.1,B.1.1,20B,1
Panem,2020-09-02,NULL,NULL,B.1.218,B.1,B.1,20A,1
Panem,2020-09-02,NULL,NULL,B.1.36.22,B.1.36.22,B.1.36.22,20A,1
Panem,2020-09-02,NULL,NULL,B.1.36.1,B.1.36,B.1.36,20A,1
Panem,2020-09-02,NULL,NULL,B.1.36,B.1.36,B.1.36,20A,1
Panem,2020-09-02,NULL,NULL,B.1,B.1.389,B.1.389,20A,1
Panem,2020-09-02,NULL,NULL,B.1.367,B.1.367,B.1.367,20C,4
Panem,2020-09-02,NULL,NULL,B.1.1,B.1.1,B.1.1,20B,8
Panem,2020-09-02,NULL,NULL,C.35,B.1.1.1.35,C.35,20D,1
Panem,2020-09-02,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),24
Panem,2020-09-02,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),2
Panem,2020-09-03,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,21
Panem,2020-09-03,NULL,NULL,NULL,NULL,NULL,NULL,19
Panem,2020-09-03,NULL,NULL,B.1.36.1,B.1.36,B.1.36,20A,2
Panem,2020-09-03,NULL,NULL,B.1.1,B.1.1,B.1.1,20B,1
Panem,2020-09-03,NULL,NULL,B.1.258.9,B.1.258,B.1.258,20A,1
Panem,2020-09-03,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,3
Panem,2020-09-03,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,4
Panem,2020-09-03,NULL,NULL,B.1.1.224,B.1.1,B.1.1,20B,2
Panem,2020-09-03,NULL,NULL,B.1.1.191,B.1.1,B.1.1,20B,2
Panem,2020-09-03,NULL,NULL,C.35,B.1.1.1.35,C.35,20D,2
Panem,2020-09-03,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,22
Panem,2020-09-03,NULL,NULL,B.1.367,B.1.367,B.1.367,20C,3
Panem,2020-09-03,NULL,NULL,B.1,B.1,B.1,20A,1
Panem,2020-09-03,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,14
Panem,2020-09-03,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),33
Panem,2020-09-03,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),3
Panem,2020-09-03,NULL,NULL,B.1.527,B.1.527,B.1.527,20A,1
Panem,2020-09-03,NULL,NULL,B.1.1.269,B.1.1.269,B.1.1.269,20B,1
Panem,2020-09-03,NULL,NULL,B.1.372,B.1,B.1,20C,2
Panem,2020-09-03,NULL,NULL,B.1.1.153,B.1.1.153,B.1.1.153,20B,1
Panem,2020-09-03,NULL,NULL,AQ.2,B.1.1.39,B.1.1.39,20B,1
Panem,2020-09-03,NULL,NULL,B.1.9.5,B.1.9,B.1.9,20A,3
Panem,2020-09-03,NULL,NULL,B.1.1.298,B.1.1.298,B.1.1.298,20B,1
Panem,2020-09-03,NULL,NULL,B.1.177,B.1.177,B.1.177,20E (EU1),5
Panem,2020-09-04,NULL,NULL,B.1.1.298,B.1.1.298,B.1.1.298,20B,1
Panem,2020-09-04,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,9
Panem,2020-09-04,NULL,NULL,B.1.177.14,B.1.177,B.1.177,20E (EU1),1
Panem,2020-09-04,NULL,NULL,B.1.36,B.1.36,B.1.36,20A,1
Panem,2020-09-04,NULL,NULL,B.1.367,B.1.367,B.1.367,20C,2
Panem,2020-09-04,NULL,NULL,B.1.218,B.1,B.1,20A,1
Panem,2020-09-04,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,4
Panem,2020-09-04,NULL,NULL,NULL,NULL,NULL,NULL,55
Panem,2020-09-04,NULL,NULL,B.1.1.144,B.1.1,B.1.1,20B,1
Panem,2020-09-04,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,6
Panem,2020-09-04,NULL,NULL,B.1.1.191,B.1.1,B.1.1,20B,3
Panem,2020-09-04,NULL,NULL,B.1.1.224,B.1.1,B.1.1,20B,1
Panem,2020-09-04,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,5
Panem,2020-09-04,NULL,NULL,B.1.177.53,B.1.177.53,B.1.177.53,20E (EU1),1
Panem,2020-09-04,NULL,NULL,B.1.1,B.1.1,B.1.1,20B,8
Panem,2020-09-04,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),21
Panem,2020-09-04,NULL,NULL,B.1.372,B.1,B.1,20C,1
Panem,2020-09-04,NULL,NULL,B.1.1.302,B.1.1.302,B.1.1.302,20B,1
Panem,2020-09-04,NULL,NULL,AQ.2,B.1.1.39,B.1.1.39,20B,1
Panem,2020-09-04,NULL,NULL,B.1.177,B.1.177,B.1.177,20E (EU1),3
Panem,2020-09-04,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,19
Hogwarts,2020-09-04,NULL,NULL,B.1.36,B.1.36,B.1.36,20A,1
Panem,2020-09-05,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),4
Panem,2020-09-05,NULL,NULL,B.1.36.22,B.1.36.22,B.1.36.22,20A,3
Panem,2020-09-05,NULL,NULL,B.1.218,B.1,B.1,20A,2
Panem,2020-09-05,NULL,NULL,B.1.527,B.1.527,B.1.527,20A,1
Panem,2020-09-05,NULL,NULL,B.1.36.1,B.1.36.1,B.1.36.1,20A,2
Panem,2020-09-05,NULL,NULL,B.1.1.269,B.1.1.269,B.1.1.269,20B,1
Panem,2020-09-05,NULL,NULL,B.1,B.1.389,B.1.389,20A,1
Panem,2020-09-05,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,5
Panem,2020-09-05,NULL,NULL,B.1.36,B.1.36,B.1.36,20A,1
Panem,2020-09-05,NULL,NULL,B.1.367,B.1.367,B.1.367,20C,4
Panem,2020-09-05,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,23
Panem,2020-09-05,NULL,NULL,B.1.1.224,B.1.1,B.1.1,20B,2
Hogwarts,2020-09-05,NULL,NULL,NULL,NULL,NULL,NULL,1
Panem,2020-09-05,NULL,NULL,B.1.258.9,B.1.258,B.1.258,20A,4
Panem,2020-09-05,NULL,NULL,B.1.1.191,B.1.1,B.1.1,20B,3
Panem,2020-09-05,NULL,NULL,B.1.36.1,B.1.36,B.1.36,20A,1
Panem,2020-09-05,NULL,NULL,B.1.221,B.1.221,B.1.221,20A,1
Panem,2020-09-05,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),16
Panem,2020-09-05,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,11
Panem,2020-09-05,NULL,NULL,B.1.1.298,B.1.1.298,B.1.1.298,20B,2
Panem,2020-09-05,NULL,NULL,B.1.177.14,B.1.177,B.1.177,20E (EU1),1
Panem,2020-09-05,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,6
Panem,2020-09-05,NULL,NULL,B.1.1,B.1.1,B.1.1,20B,6
Panem,2020-09-05,NULL,NULL,B.1,B.1,B.1,20A,1
Panem,2020-09-05,NULL,NULL,B.1.177,B.1.177,B.1.177,20E (EU1),1
Panem,2020-09-05,NULL,NULL,NULL,NULL,NULL,NULL,56
Panem,2020-09-05,NULL,NULL,B.1.1,B.1.1.317,B.1.1.317,20B,1
Panem,2020-09-05,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,11
Panem,2020-09-06,NULL,NULL,B.1.1.224,B.1.1,B.1.1,20B,3
Panem,2020-09-06,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,8
Panem,2020-09-06,NULL,NULL,B.1.177.14,B.1.177,B.1.177,20E (EU1),2
Panem,2020-09-06,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,18
Panem,2020-09-06,NULL,NULL,B.1.1,B.1.1.44,B.1.1.44,20B,1
Panem,2020-09-06,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,3
Panem,2020-09-06,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,12
Panem,2020-09-06,NULL,NULL,B.1.177.83,B.1.177.83,B.1.177.83,20E (EU1),1
Panem,2020-09-06,NULL,NULL,B.1.258,B.1.258.3,B.1.258.3,20A,1
Panem,2020-09-06,NULL,NULL,B.1.372,B.1,B.1,20C,1
Panem,2020-09-06,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),21
Hogwarts,2020-09-06,NULL,NULL,NULL,NULL,NULL,NULL,3
Panem,2020-09-06,NULL,NULL,B.1,B.1,B.1,20A,3
Panem,2020-09-06,NULL,NULL,NULL,NULL,NULL,NULL,52
Panem,2020-09-06,NULL,NULL,B.1.1.298,B.1.1.298,B.1.1.298,20B,2
Panem,2020-09-06,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,8
Panem,2020-09-06,NULL,NULL,B.1.177,B.1.177,B.1.177,20E (EU1),3
Panem,2020-09-06,NULL,NULL,B.1.1.189,B.1.1.189,B.1.1.189,20B,1
Panem,2020-09-06,NULL,NULL,B.1.177.12,B.1.177.12,B.1.177.12,20E (EU1),1
Panem,2020-09-06,NULL,NULL,B.1.258.9,B.1.258,B.1.258,20A,1
Panem,2020-09-06,NULL,NULL,B.1.131,B.1,B.1,20A,1
Panem,2020-09-06,NULL,NULL,B.1.218,B.1,B.1,20A,1
Panem,2020-09-06,NULL,NULL,B.1.1.326,B.1.1.326,B.1.1.326,20B,1
Panem,2020-09-06,NULL,NULL,B.1.36.1,B.1.36.1,B.1.36.1,20A,2
Panem,2020-09-06,NULL,NULL,B.1.1,B.1.1,B.1.1,20B,7
Panem,2020-09-06,NULL,NULL,B.1.221,B.1.221,B.1.221,20A,1
Panem,2020-09-06,NULL,NULL,B.1.1,B.1,B.1,20A,1
Panem,2020-09-06,NULL,NULL,B.1.367,B.1.367,B.1.367,20C,3
Panem,2020-09-06,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),3
Panem,2020-09-07,NULL,NULL,B.1.177.12,B.1.177.12,B.1.177.12,20E (EU1),1
Panem,2020-09-07,NULL,NULL,B.1,B.1.258,B.1.258,20A,1
Panem,2020-09-07,NULL,NULL,B.1.343,B.1,B.1,20C,1
Panem,2020-09-07,NULL,NULL,B.1,B.1,B.1,20A,1
Panem,2020-09-07,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),14
Panem,2020-09-07,NULL,NULL,B.1.9.5,B.1.9,B.1.9,20A,1
Panem,2020-09-07,NULL,NULL,B.1.367,B.1.367,B.1.367,20C,5
Panem,2020-09-07,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,3
Panem,2020-09-07,NULL,NULL,B.1.1.302,B.1.1.302,B.1.1.302,20B,1
Panem,2020-09-07,NULL,NULL,B.1.258.9,B.1.258,B.1.258,20A,2
Panem,2020-09-07,NULL,NULL,B.1.1,B.1,B.1,20A,1
Panem,2020-09-07,NULL,NULL,AQ.2,B.1.1.39,B.1.1.39,20B,1
Panem,2020-09-07,NULL,NULL,B.1.218,B.1,B.1,20A,3
Panem,2020-09-07,NULL,NULL,NULL,NULL,NULL,NULL,23
Panem,2020-09-07,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,9
Panem,2020-09-07,NULL,NULL,B.1.498,B.1,B.1,20C,2
Panem,2020-09-07,NULL,NULL,B.1.1.298,B.1.1.298,B.1.1.298,20B,1
Panem,2020-09-07,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,5
Panem,2020-09-07,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,2
Panem,2020-09-07,NULL,NULL,B.1.1.191,B.1.1,B.1.1,20B,1
Panem,2020-09-07,NULL,NULL,B.1.1.224,B.1.1,B.1.1,20B,3
Panem,2020-09-07,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,17
Panem,2020-09-07,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),11
Panem,2020-09-07,NULL,NULL,B.1.118,B.1,B.1,20C,1
Panem,2020-09-08,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,6
Panem,2020-09-08,NULL,NULL,B.1.389,B.1.389,B.1.389,20A,1
Panem,2020-09-08,NULL,NULL,NULL,NULL,NULL,NULL,8
Panem,2020-09-08,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),2
Panem,2020-09-08,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,4
Panem,2020-09-08,NULL,NULL,B.1.1.277,B.1.1.174,B.1.1.174,20B,1
Panem,2020-09-08,NULL,NULL,B.1.367,B.1.367,B.1.367,20C,2
Hogwarts,2020-09-08,NULL,NULL,NULL,NULL,NULL,NULL,1
Panem,2020-09-08,NULL,NULL,B.1.177.12,B.1.177.12,B.1.177.12,20E (EU1),2
Panem,2020-09-08,NULL,NULL,B.1.1.298,B.1.1.298,B.1.1.298,20B,1
Panem,2020-09-08,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,4
Panem,2020-09-08,NULL,NULL,B.1.258.9,B.1.258,B.1.258,20A,1
Panem,2020-09-09,NULL,NULL,B.1.221,B.1.221,B.1.221,20A,1
Panem,2020-09-09,NULL,NULL,B.1.1,B.1.1.317,B.1.1.317,20B,1
Panem,2020-09-09,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,2
Panem,2020-09-09,NULL,NULL,B.1.1.298,B.1.1.298,B.1.1.298,20B,7
Middle-Earth,2020-09-09,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),4
Panem,2020-09-09,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),3
Middle-Earth,2020-09-09,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,2
Panem,2020-09-09,NULL,NULL,B.1.177.12,B.1.177.12,B.1.177.12,20E (EU1),1
Panem,2020-09-09,NULL,NULL,B.1.1.191,B.1.1,B.1.1,20B,2
Panem,2020-09-09,NULL,NULL,B.1.1,B.1.1,B.1.1,20B,4
Panem,2020-09-09,NULL,NULL,B.1.389,B.1.389,B.1.389,20A,1
Panem,2020-09-09,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,1
Panem,2020-09-09,NULL,NULL,B.1.36.8,B.1.36.8,B.1.36.8,20A,2
Panem,2020-09-09,NULL,NULL,B.1.367,B.1.367,B.1.367,20C,1
Panem,2020-09-09,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,4
Middle-Earth,2020-09-09,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,2
Middle-Earth,2020-09-09,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),4
Panem,2020-09-09,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),6
Panem,2020-09-09,NULL,NULL,B.1.177.14,B.1.177,B.1.177,20E (EU1),1
Panem,2020-09-09,NULL,NULL,B.1.1.224,B.1.1,B.1.1,20B,2
Panem,2020-09-09,NULL,NULL,NULL,NULL,NULL,NULL,15
Panem,2020-09-09,NULL,NULL,B.1.258.9,B.1.258,B.1.258,20A,2
Panem,2020-09-09,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,7
Panem,2020-09-09,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,11
Panem,2020-09-10,NULL,NULL,NULL,NULL,NULL,NULL,6
Middle-Earth,2020-09-10,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,2
Panem,2020-09-10,NULL,NULL,B.1.1,B.1.1,B.1.1,20B,1
Panem,2020-09-10,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,2
Panem,2020-09-10,NULL,NULL,B.1.1.272,B.1,B.1,20A,1
Panem,2020-09-10,NULL,NULL,B.1.1.298,B.1.1.298,B.1.1.298,20B,3
Middle-Earth,2020-09-10,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,4
Panem,2020-09-10,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,1
Panem,2020-09-10,NULL,NULL,B.1.1.272,B.1.1.181,B.1.1.181,20B,1
Panem,2020-09-10,NULL,NULL,B.1.177.14,B.1.177,B.1.177,20E (EU1),1
Panem,2020-09-10,NULL,NULL,B.1.258.9,B.1.258,B.1.258,20A,1
Middle-Earth,2020-09-10,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,2
Middle-Earth,2020-09-10,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),4
Panem,2020-09-10,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),2
Panem,2020-09-10,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,5
Panem,2020-09-10,NULL,NULL,B.1.1.191,B.1.1,B.1.1,20B,3
Panem,2020-09-10,NULL,NULL,B.1.36.1,B.1.36.1,B.1.36.1,20A,1
Panem,2020-09-10,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,10
Panem,2020-09-10,NULL,NULL,B.1.1.219,B.1.1,B.1.1,20B,1
Hogwarts,2020-09-11,NULL,NULL,NULL,NULL,NULL,NULL,1
Middle-Earth,2020-09-11,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,2
Panem,2020-09-11,NULL,NULL,B.1.389,B.1.389,B.1.389,20A,1
Middle-Earth,2020-09-11,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,6
Middle-Earth,2020-09-11,NULL,NULL,B.1.177.12,B.1.177.12,B.1.177.12,20E (EU1),2
Panem,2020-09-11,NULL,NULL,B.1.1.266,B.1.1,B.1.1,20B,1
Panem,2020-09-11,NULL,NULL,B.1.1,B.1.1,B.1.1,20B,1
Panem,2020-09-11,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),5
Panem,2020-09-11,NULL,NULL,B.1.9.5,B.1.9,B.1.9,20A,1
Panem,2020-09-11,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,2
Panem,2020-09-11,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,1
Middle-Earth,2020-09-11,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),8
Panem,2020-09-11,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),6
Hogwarts,2020-09-11,NULL,NULL,B.1.9.5,B.1.9,B.1.9,20A,2
Panem,2020-09-11,NULL,NULL,B.1.258,B.1.258.3,B.1.258.3,20A,1
Panem,2020-09-11,NULL,NULL,B.1.1.191,B.1.1,B.1.1,20B,5
Panem,2020-09-11,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,2
Middle-Earth,2020-09-11,NULL,NULL,NULL,NULL,NULL,NULL,4
Panem,2020-09-11,NULL,NULL,NULL,NULL,NULL,NULL,26
Middle-Earth,2020-09-11,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),2
Panem,2020-09-11,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,1
Panem,2020-09-11,NULL,NULL,B.1.177.12,B.1.177.12,B.1.177.12,20E (EU1),1
Panem,2020-09-11,NULL,NULL,B.1.177,B.1.177,B.1.177,20E (EU1),1
Panem,2020-09-11,NULL,NULL,B.1.258.9,B.1.258,B.1.258,20A,5
Panem,2020-09-11,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,3
Panem,2020-09-11,NULL,NULL,B.1.1.302,B.1.1.302,B.1.1.302,20B,1
Panem,2020-09-12,NULL,NULL,B.1.367,B.1.367,B.1.367,20C,1
Hogwarts,2020-09-12,NULL,NULL,B.1.258.9,B.1.258,B.1.258,20A,1
Panem,2020-09-12,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),1
Panem,2020-09-12,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,3
Hogwarts,2020-09-12,NULL,NULL,B.1.1.224,B.1.1,B.1.1,20B,4
Panem,2020-09-12,NULL,NULL,NULL,NULL,NULL,NULL,8
Panem,2020-09-12,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,1
Panem,2020-09-12,NULL,NULL,B.1.213,B.1.179,B.1.179,20A,1
Middle-Earth,2020-09-12,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,2
Panem,2020-09-12,NULL,NULL,B.1.1.191,B.1.1,B.1.1,20B,1
Middle-Earth,2020-09-12,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),6
Panem,2020-09-12,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,2
Middle-Earth,2020-09-12,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,2
Hogwarts,2020-09-13,NULL,NULL,B.1.1.277,B.1.1.174,B.1.1.174,20B,1
Hogwarts,2020-09-13,NULL,NULL,B.1.1,B.1.1.174,B.1.1.174,20B,1
Panem,2020-09-13,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,1
Hogwarts,2020-09-13,NULL,NULL,B.1.1,B.1.1,B.1.1,20B,3
Panem,2020-09-13,NULL,NULL,B.1.1.277,B.1.1.174,B.1.1.174,20B,2
Panem,2020-09-13,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,4
Middle-Earth,2020-09-13,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,2
Middle-Earth,2020-09-13,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,2
Panem,2020-09-13,NULL,NULL,B.1.1,B.1.1,B.1.1,20B,4
Hogwarts,2020-09-13,NULL,NULL,NULL,NULL,NULL,NULL,1
Panem,2020-09-13,NULL,NULL,B.1.258.9,B.1.258,B.1.258,20A,4
Middle-Earth,2020-09-13,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),4
Panem,2020-09-13,NULL,NULL,B.1.1.189,B.1.1.189,B.1.1.189,20B,2
Panem,2020-09-13,NULL,NULL,NULL,NULL,NULL,NULL,15
Panem,2020-09-13,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,3
Panem,2020-09-13,NULL,NULL,B.1.1,B.1.1.174,B.1.1.174,20B,1
Panem,2020-09-13,NULL,NULL,B.1.1.191,B.1.1,B.1.1,20B,4
Middle-Earth,2020-09-13,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),2
Panem,2020-09-13,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,5
Panem,2020-09-13,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),6
Panem,2020-09-14,NULL,NULL,B.1.221.3,B.1.221,B.1.221,20A,5
Panem,2020-09-14,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,6
Panem,2020-09-14,NULL,NULL,NULL,NULL,NULL,NULL,34
Panem,2020-09-14,NULL,NULL,B.1.36.8,B.1.36.8,B.1.36.8,20A,4
Panem,2020-09-14,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,12
Panem,2020-09-14,NULL,NULL,B.1.258.9,B.1.258,B.1.258,20A,6
Panem,2020-09-14,NULL,NULL,B.1.1.191,B.1.1,B.1.1,20B,9
Panem,2020-09-14,NULL,NULL,B.1.218,B.1,B.1,20A,1
Middle-Earth,2020-09-14,NULL,NULL,B.1.36,B.1.36,B.1.36,20A,2
Panem,2020-09-14,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,6
Hogwarts,2020-09-14,NULL,NULL,B.1.1.224,B.1.1,B.1.1,20B,1
Panem,2020-09-14,NULL,NULL,B.1.1.277,B.1.1.174,B.1.1.174,20B,1
Panem,2020-09-14,NULL,NULL,B.1.367,B.1.367,B.1.367,20C,1
Panem,2020-09-14,NULL,NULL,B.1.1.189,B.1.1.189,B.1.1.189,20B,4
Panem,2020-09-14,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,5
Panem,2020-09-14,NULL,NULL,B.1.177,B.1.177,B.1.177,20E (EU1),2
Panem,2020-09-14,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),25
