QcScore,SequenceExclude,ManualExclude,weight
Fail: Mixed strain,MixedStrain,NULL,46
Fail: Mixed strain,MixedStrain,NULL,49
Fail: Mixed strain,MixedStrain,NULL,50
Fail: Mixed strain,MixedStrain,NULL,52
Fail: Mixed strain,MixedStrain,NULL,53
Fail: Mixed strain,MixedStrain,NULL,55
Fail: Mixed strain,MixedStrain,NULL,56
Fail: Mixed strain,MixedStrain,NULL,60
Fail: Mixed strain,MixedStrain,NULL,63
Fail: Mixed strain,MixedStrain,NULL,65
Fail: Mixed strain,MixedStrain,NULL,70
Fail: Mixed strain,MixedStrain,NULL,73
Fail: Mixed strain,MixedStrain,NULL,112
Fail: Mixed strain,MixedStrain,NULL,135
Fail: Mixed strain,MixedStrain,NULL,172
Fail: Mixed strain,MixedStrain,NULL,178
Fail: Mixed strain,MixedStrain,NULL,188
Fail: Mixed strain,MixedStrain,NULL,191
Fail: Mixed strain,MixedStrain,NULL,213
Fail: Mixed strain,MixedStrain,NULL,236
Fail: Mixed strain,MixedStrain,NULL,399
Fail: Mixed strain,MixedStrain,NULL,510
Fail: Mixed strain,MixedStrain,NULL,581
Fail: Mixed strain,MixedStrain,NULL,851
Fail: Mixed strain,MixedStrain,NULL,1352
Fail: Mixed strain,MixedStrain,NULL,2222
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,1
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,2
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,3
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,4
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,5
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,6
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,7
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,9
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,10
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,12
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,13
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,15
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,16
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,17
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,20
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,21
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,22
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,23
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,25
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,27
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,29
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,30
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,35
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,42
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,50
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,53
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,72
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,75
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,80
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,135
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,180
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,269
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,320
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,1
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,2
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,3
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,6
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,8
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,10
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,11
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,12
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,13
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,14
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,15
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,20
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,22
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,35
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,45
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,57
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,59
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,81
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,100
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,124
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,148
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Sample,1
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Sample,2
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Sample,3
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Sample,5
Fail: Mixed strain,NegContamination;MixedStrain,NULL,1
Fail: Mixed strain,NegContamination;MixedStrain,NULL,2
Fail: Mixed strain,NegContamination;MixedStrain,NULL,3
Fail: Mixed strain,NegContamination;MixedStrain,NULL,4
Fail: Mixed strain,NegContamination;MixedStrain,NULL,5
Fail: Mixed strain,NegContamination;MixedStrain,NULL,6
Fail: Mixed strain,NegContamination;MixedStrain,NULL,7
Fail: Mixed strain,NegContamination;MixedStrain,NULL,8
Fail: Mixed strain,NegContamination;MixedStrain,NULL,12
Fail: Mixed strain,NegContamination;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,1
Fail: Mixed strain,NegContamination;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,2
Fail: Mixed strain,NegContamination;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,3
Fail: Mixed strain,NegContamination;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,1
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,1
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,2
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,3
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,4
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,5
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,6
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,7
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,8
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,11
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,12
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,13
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,14
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,15
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,16
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,20
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,27
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,31
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,32
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,43
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,46
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,55
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,69
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,78
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,87
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,118
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,127
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,154
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,233
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,265
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,378
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,487
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,685
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,1
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,2
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,3
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,4
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,5
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,6
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,7
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,10
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,13
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,16
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,26
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,27
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,31
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,34
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,48
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,49
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,79
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,88
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,103
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,130
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,175
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,248
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,1
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,2
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,3
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,4
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,5
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,6
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,7
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,8
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,11
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,12
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,15
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,16
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,20
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,21
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,22
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,24
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,25
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,30
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,36
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,39
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Sample,1
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Sample,2
Fail: Mixed strain,TooManyNs;NegContamination;MixedStrain,NULL,1
Fail: Mixed strain,TooManyNs;NegContamination;MixedStrain,NULL,2
Fail: Mixed strain,TooManyNs;NegContamination;MixedStrain,NULL,3
Fail: Mixed strain,TooManyNs;NegContamination;MixedStrain,NULL,4
Fail: Mixed strain,TooManyNs;NegContamination;MixedStrain,NULL,5
Fail: Mixed strain,TooManyNs;NegContamination;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,1
